,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,teamPoss,recTeam,down,distance,side,dist2goal,puntDist,puntEndLoc,surrenderIndex,surrenderRank,percentiles,DDSPF16percentiles,NFLpercentiles,play,result
11961,1,91,3,13:44,HON,3,16,BER,HON,BER,4,2,HON,68,57,11,2.4010535424000006,2989.0,74.06024828544145,71.90258616865546,70.78824217607487,"Punt by Powers, V. of 57 yards.  No return. First Down!",No return
11967,1,91,3,11:56,HON,3,16,BER,BER,HON,4,5,HON,44,35,9,4.646924091587546,1677.0,85.5195763521139,81.51310828195005,84.78904650482598,"Punt by Hunt, K. of 35 yards. Returned by Waters, J. for 3 yards. First Down!",Returned
11977,1,91,3,8:08,HON,10,23,BER,BER,HON,4,6,BER,60,40,20,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by Hunt, K. of 60 yards.  Touchback.",Touchback
12080,1,93,2,14:30,NOLA,7,7,NYS,NYS,NOLA,4,10,NYS,75,47,28,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Z, D. of 47 yards.  No return. First Down!",No return
12084,1,93,2,13:20,NOLA,7,7,NYS,NOLA,NYS,4,6,NOLA,69,55,14,1.2,4909.0,58.14740862922129,56.580756775939314,49.40954957589938,"Punt by Louis, L. of 55 yards.  No return. First Down!",No return
12053,1,93,1,10:07,NOLA,0,0,NYS,NOLA,NYS,4,20,NOLA,65,38,27,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Louis, L. of 38 yards. Returned by Fank (R), H. for -4 yards. First Down!",Returned
12045,1,93,1,13:12,NOLA,0,0,NYS,NOLA,NYS,4,8,NOLA,74,33,41,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by Louis, L. of 33 yards. Returned by Fank (R), H. for 6 yards. First Down!",Returned
11854,1,71,4,6:24,SAR,19,27,AUS,SAR,AUS,4,11,SAR,75,65,10,3.0713274368,2575.0,77.65431026998871,75.1053542119505,75.50087744954665,"Punt by PhastBawls, D. of 65 yards.  No return. First Down!",No return
11850,1,71,4,8:26,SAR,19,27,AUS,AUS,SAR,4,2,AUS,82,54,28,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by QB (R), P. of 54 yards.  No return. First Down!",No return
11869,1,71,4,1:38,SAR,27,27,AUS,AUS,SAR,4,19,SAR,43,38,5,22.046347721385718,462.0,95.99791648580606,93.76303065253072,97.49561275226675,"Punt by QB (R), P. of 38 yards.  No return. First Down!",No return
11821,1,71,3,3:56,SAR,13,20,AUS,SAR,AUS,4,1,SAR,54,0,54,1.3616911236556235,4409.0,61.73278930462714,60.014195093820696,53.62679145949108,"Punt by PhastBawls, D. is BLOCKED BY MacGregor, G..  No return. First Down!",No return
11827,1,71,3,2:05,SAR,13,27,AUS,SAR,AUS,4,9,SAR,62,50,12,1.7585812500000002,3861.0,66.49014671412449,64.76067959011667,61.0412401286926,"Punt by PhastBawls, D. of 50 yards. Returned by Jeeta, E. for -3 yards. First Down!",Returned
11831,1,71,4,15:00,SAR,13,27,AUS,AUS,SAR,4,16,AUS,98,47,51,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by QB (R), P. of 47 yards. Returned by Chan, R. for 18 yards. First Down!",Returned
11922,1,91,2,13:00,HON,3,13,BER,HON,BER,4,2,HON,67,52,15,2.4000000000000004,3064.0,73.66958937407762,71.51887503881471,70.44274641708101,"Punt by Powers, V. of 52 yards.  No return. First Down!",No return
11926,1,91,2,11:19,HON,3,13,BER,BER,HON,4,1,BER,76,52,24,1.0,5334.0,54.857192464623665,53.511067737213324,44.95466510675636,"Punt by Hunt, K. of 52 yards. Returned by Waters, J. for 6 yards. First Down!",Returned
11931,1,91,2,10:08,HON,3,13,BER,HON,BER,4,5,HON,66,29,37,1.7999999999999998,3828.0,67.21503602743293,65.49705008206539,62.006434630008776,"Punt by Powers, V. of 29 yards. Returned by Quinn, A. for -3 yards. First Down!",Returned
11948,1,91,2,3:15,HON,3,16,BER,HON,BER,4,4,HON,58,50,8,0.3237458218365845,9176.0,20.366351245767863,19.593665439382512,9.787218484937116,"Punt by Powers, V. of 50 yards.  No return. First Down!",No return
11918,1,91,2,14:36,HON,3,13,BER,BER,HON,4,2,BER,68,42,26,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by Hunt, K. of 42 yards.  No return. First Down!",No return
11887,1,91,1,9:32,HON,0,3,BER,HON,BER,4,5,HON,70,40,30,2.4,3248.0,72.60612900425384,70.38104954974936,69.13022813688212,"Punt by Powers, V. of 40 yards. Returned by Quinn, A. for 3 yards. First Down!",Returned
11185,1,125,3,11:50,PHI,10,31,BER,PHI,BER,4,8,BER,36,33,3,40.235944343681325,263.0,97.72549700494835,96.53107394756687,99.09330213512723,"Punt by PuntBot, Z. of 33 yards.  No return. First Down!",No return
11132,1,125,1,0:43,PHI,7,17,BER,PHI,BER,4,7,PHI,72,49,23,1.2000000000000002,4734.0,59.42790172758052,57.902674887991836,50.996270839426735,"Punt by PuntBot, Z. of 49 yards. Quinn, A. returns the punt down the right side. Quinn, A. gets out of a tackle. Returned by Quinn, A. for 77 yards. TOUCHDOWN!  (Hunt kick good)",Returned
11138,1,125,2,14:42,PHI,7,17,BER,PHI,BER,4,9,PHI,74,35,39,1.2000000000000002,4734.0,59.42790172758052,57.902674887991836,50.996270839426735,"Punt by PuntBot, Z. of 35 yards. Returned by Quinn, A. for 16 yards. First Down!",Returned
11142,1,125,2,13:40,PHI,7,17,BER,BER,PHI,4,10,PHI,45,29,16,1.2908122476632073,4463.0,61.35949301154614,59.62826598057047,52.9888125182802,"Punt by Hunt, K. of 29 yards. Returned by Torenson, S. for 12 yards. First Down!",Returned
11233,1,125,4,7:05,PHI,19,38,BER,PHI,BER,4,1,PHI,66,38,28,10.798828125,858.0,92.56011806580432,89.23834449718316,93.70064346300087,"Punt by PuntBot, Z. of 38 yards. Returned by Quinn, A. for -1 yards. First Down!",Returned
11229,1,125,4,8:56,PHI,19,38,BER,BER,PHI,4,3,BER,53,32,21,0.2317315037893502,9490.0,17.757617848771595,17.56199263629508,8.902456858730623,"Punt by Hunt, K. of 32 yards. Returned by Torenson, S. for 5 yards. First Down!",Returned
11199,1,125,3,5:30,PHI,12,31,BER,PHI,BER,4,20,BER,32,12,20,49.105440202879514,217.0,98.1248372254536,97.13880140176552,99.37847323778882,"Punt by PuntBot, Z. of 32 yards.  Touchback.",Touchback
11220,1,125,4,12:38,PHI,19,38,BER,BER,PHI,4,9,BER,56,36,20,0.08705165431605941,11204.0,2.8518100529559858,2.9610078516612695,0.0,"Punt by Hunt, K. of 55 yards.  Touchback.",Touchback
11044,1,115,3,6:02,SAR,24,10,COL,COL,SAR,4,4,COL,52,31,21,0.6628469156825152,6866.0,40.40281274416182,39.44905292108415,29.5481134834747,"Punt by Banana, S. of 31 yards. Returned by Chan, R. for 1 yards. First Down!",Returned
11020,1,115,2,0:07,SAR,17,10,COL,COL,SAR,4,2,SAR,49,29,20,9.959971046784009,923.0,92.01753624446566,88.62174510934658,93.02427610412401,"Punt by Banana, S. of 49 yards.  Touchback.",Touchback
11060,1,115,4,13:49,SAR,24,17,COL,SAR,COL,4,15,COL,49,46,3,0.6224981904240006,6979.0,39.53468183001997,38.70159251208801,28.582918982158525,"Punt by PhastBawls, D. of 46 yards.  No return. First Down!",No return
11069,1,115,4,10:28,SAR,26,17,COL,SAR,COL,4,4,SAR,51,40,11,0.21029633968883532,9581.0,16.937234134907545,16.759082642061838,8.657502193623866,"Punt by PhastBawls, D. of 40 yards.  No return. First Down!",No return
11073,1,115,4,8:46,SAR,26,17,COL,COL,SAR,4,8,COL,88,58,30,3.6813585888000007,2134.0,81.48276760135428,78.19278711795236,80.20254460368528,"Punt by Banana, S. of 58 yards. Returned by Chan, R. for -1 yards. First Down!",Returned
11078,1,115,4,7:19,SAR,26,17,COL,SAR,COL,4,8,SAR,70,63,7,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by PhastBawls, D. of 63 yards.  No return. First Down!",No return
11442,1,42,1,5:52,ARI,0,0,OCO,ARI,OCO,4,3,ARI,82,48,34,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by Jay-Jaymison, J. of 48 yards. Returned by Beerus, L. for 18 yards. First Down!",Returned
11451,1,42,1,3:12,ARI,0,7,OCO,ARI,OCO,4,2,ARI,60,40,20,3.2,2501.0,78.92178140463582,76.20325599964512,77.13147119040656,"Punt by Jay-Jaymison, J. of 60 yards.  Touchback.",Touchback
11455,1,42,1,1:43,ARI,0,7,OCO,OCO,ARI,4,19,OCO,84,56,28,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by Dasistwirklichseinnachname, A. of 56 yards. Returned by Scarlett, D. for 21 yards. First Down!",Returned
11468,1,42,2,11:20,ARI,0,7,OCO,OCO,ARI,4,24,OCO,67,0,67,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by Dasistwirklichseinnachname, A. is BLOCKED BY Koniecpolski, S..  No return. First Down!",No return
11432,1,42,1,10:45,ARI,0,0,OCO,OCO,ARI,4,3,OCO,62,58,4,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by Dasistwirklichseinnachname, A. of 58 yards.  No return. First Down!",No return
11526,1,42,3,4:28,ARI,20,21,OCO,ARI,OCO,4,9,ARI,75,52,23,2.0038975488,3444.0,70.11459328066672,68.01667923523932,65.30783854928342,"Punt by Jay-Jaymison, J. of 52 yards. Returned by Beerus, L. for 19 yards. First Down!",Returned
11530,1,42,3,2:36,ARI,20,21,OCO,OCO,ARI,4,3,OCO,53,47,6,0.2317315037893502,9490.0,17.757617848771595,17.56199263629508,8.902456858730623,"Punt by Dasistwirklichseinnachname, A. of 47 yards.  No return. First Down!",No return
11534,1,42,3,1:29,ARI,20,21,OCO,ARI,OCO,4,1,ARI,87,60,27,6.133646924000001,1375.0,88.07188123969094,84.03939138535243,88.00087744954665,"Punt by Jay-Jaymison, J. of 60 yards. Returned by Beerus, L. for 10 yards. First Down!",Returned
11504,1,42,3,13:45,ARI,17,14,OCO,OCO,ARI,4,10,OCO,75,61,14,0.8003375,5645.0,51.00269120583384,50.40145499711662,40.600321731500436,"Punt by Dasistwirklichseinnachname, A. of 61 yards.  No return. First Down!",No return
11481,1,42,2,5:45,ARI,7,7,OCO,OCO,ARI,4,21,OCO,87,46,41,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Dasistwirklichseinnachname, A. of 46 yards.  No return. First Down!",No return
11401,1,19,4,7:45,SJS,35,28,BAL,SJS,BAL,4,4,SJS,82,47,35,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by McDairmid (C), M. of 47 yards.  No return. First Down!",No return
11303,1,19,2,9:28,SJS,14,14,BAL,BAL,SJS,4,20,BAL,61,56,5,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Small, J. of 56 yards.  No return. First Down!",No return
11284,1,19,1,1:30,SJS,7,7,BAL,SJS,BAL,4,12,BAL,38,18,20,9.250427324463296,987.0,91.474954423127,87.8232710819323,92.19618309447206,"Punt by McDairmid (C), M. of 38 yards.  Touchback.",Touchback
11381,1,19,3,0:12,SJS,35,21,BAL,BAL,SJS,4,12,BAL,54,31,23,0.268633756484948,9345.0,18.881847382585295,18.458057933726657,9.31924539338988,"Punt by Small, J. of 31 yards. Returned by Lackson, J. for 9 yards. First Down!",Returned
11388,1,19,4,13:37,SJS,35,21,BAL,SJS,BAL,4,17,SJS,75,49,26,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by McDairmid (C), M. of 49 yards. Returned by Fukushu, M. for 13 yards. First Down!",Returned
11345,1,19,3,11:53,SJS,20,21,BAL,BAL,SJS,4,3,SJS,32,12,20,55.243255968020414,197.0,98.32450733570623,97.44488311227433,99.50643463000877,"Punt by Small, J. of 32 yards.  Touchback.",Touchback
12809,1,78,1,13:36,HON,0,0,SAR,SAR,HON,4,20,SAR,85,53,32,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by PhastBawls, D. of 53 yards. Returned by Waters, J. for 1 yards. First Down!",Returned
12890,1,78,3,13:35,HON,17,17,SAR,HON,SAR,4,2,HON,57,48,9,0.31674587241187724,9198.0,20.157999826373818,19.482766268908307,9.564200058496636,"Punt by Powers, V. of 48 yards.  No return. First Down!",No return
12851,1,78,2,12:09,HON,17,7,SAR,SAR,HON,4,9,SAR,88,35,53,1.2000000000000002,4734.0,59.42790172758052,57.902674887991836,50.996270839426735,"Punt by PhastBawls, D. of 35 yards. Returned by Waters, J. for 7 yards. First Down!",Returned
12855,1,78,2,11:01,HON,17,7,SAR,HON,SAR,4,10,SAR,40,30,10,3.2119539321053114,2337.0,79.78557166420697,76.91301069068004,77.96139221994736,"Punt by Powers, V. of 30 yards. Returned by Chan, R. for 20 yards. First Down!",Returned
12873,1,78,2,2:22,HON,17,14,SAR,HON,SAR,4,2,SAR,47,29,18,3.585589576842243,2178.0,81.19194374511676,77.92662910881427,79.82962854635858,"Punt by Powers, V. of 29 yards. Returned by Chan, R. for 14 yards. First Down!",Returned
12680,1,57,1,6:28,CHI,0,3,NOLA,CHI,NOLA,4,9,NOLA,47,37,10,7.171179153684486,1214.0,89.4999565934543,85.53431220334473,89.81792921906991,"Punt by Sidekick, S. of 37 yards.  No return. First Down!",No return
12687,1,57,1,3:12,CHI,0,3,NOLA,NOLA,CHI,4,1,NOLA,51,43,8,0.3504938994813922,9123.0,20.887229794252974,19.926362950805128,9.787218484937116,"Punt by Louis, L. of 43 yards.  No return. First Down!",No return
12647,1,38,4,3:06,PHI,28,24,ARI,PHI,ARI,4,9,ARI,45,40,5,2.5816244953264147,2849.0,75.37980727493706,73.05815552499668,72.3000146241591,"Punt by PuntBot, Z. of 40 yards.  No return. First Down!",No return
12747,1,57,3,8:40,CHI,13,6,NOLA,CHI,NOLA,4,3,CHI,70,58,12,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by Sidekick, S. of 58 yards.  No return. First Down!",No return
12739,1,57,3,12:40,CHI,13,6,NOLA,CHI,NOLA,4,4,NOLA,43,23,20,5.5763089099050545,1460.0,87.41210174494314,83.3052388768132,87.13622404211758,"Punt by Sidekick, S. of 43 yards.  Touchback.",Touchback
12732,1,57,2,0:01,CHI,13,6,NOLA,CHI,NOLA,4,5,CHI,67,58,9,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by Sidekick, S. of 58 yards.  No return. First Down!",No return
12912,1,78,3,2:47,HON,17,20,SAR,HON,SAR,4,4,SAR,42,37,5,37.30772384583043,280.0,97.57791474954423,96.19837643614426,98.968996782685,"Punt by Powers, V. of 37 yards.  No return. First Down!",No return
13110,1,95,4,3:16,AUS,26,22,NYS,AUS,NYS,4,7,AUS,80,33,47,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by QB (R), P. of 33 yards.  No return. First Down!",No return
13167,1,104,2,12:55,BER,21,3,SJS,SJS,BER,4,4,SJS,69,55,14,1.7999999999999998,3828.0,67.21503602743293,65.49705008206539,62.006434630008776,"Punt by McDairmid (C), M. of 55 yards.  No return. First Down!",No return
13122,1,95,4,0:01,AUS,26,22,NYS,AUS,NYS,4,12,AUS,78,35,43,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by QB (R), P. of 35 yards.  No return. First Down!",No return
13130,1,104,1,12:35,BER,0,0,SJS,SJS,BER,4,10,SJS,58,38,20,0.07194351596368545,11276.0,2.261481031339526,2.4309098167945704,0.0,"Punt by McDairmid (C), M. of 57 yards.  Touchback.",Touchback
13143,1,104,1,6:46,BER,7,0,SJS,SJS,BER,4,13,SJS,68,47,21,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by McDairmid (C), M. of 47 yards. Returned by Quinn, A. for 5 yards. First Down!",Returned
12961,1,78,4,0:10,HON,24,27,SAR,SAR,HON,4,4,HON,49,37,12,1.8674945712720015,3658.0,68.33926556124663,66.72137692410061,63.15077508043287,"Punt by PhastBawls, D. of 37 yards.  No return. First Down!",No return
12973,1,95,1,10:55,AUS,0,0,NYS,AUS,NYS,4,18,NYS,46,30,16,2.1513537461053462,3389.0,70.69190033857106,68.54012331987757,66.57831237203861,"Punt by QB (R), P. of 30 yards.  No return. First Down!",No return
12916,1,78,3,0:48,HON,17,20,SAR,SAR,HON,4,3,SAR,88,49,39,0.8,6669.0,46.501432416008335,45.59730293217407,35.92790289558351,"Punt by PhastBawls, D. of 49 yards.  No return. First Down!",No return
12920,1,78,4,15:00,HON,17,20,SAR,HON,SAR,4,8,HON,59,39,20,0.45232850582258954,7986.0,30.68408716034378,29.67661801889722,19.29657794676806,"Punt by Powers, V. of 59 yards.  Touchback.",Touchback
12924,1,78,4,13:27,HON,17,20,SAR,SAR,HON,4,12,SAR,77,41,36,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by PhastBawls, D. of 41 yards.  No return. First Down!",No return
12930,1,78,4,10:42,HON,17,20,SAR,HON,SAR,4,20,HON,64,37,27,2.0422690495999998,3423.0,70.29256011806581,68.13645033935146,65.4431120210588,"Punt by Powers, V. of 37 yards. Returned by Chan, R. for 10 yards. First Down!",Returned
12934,1,78,4,9:21,HON,17,20,SAR,SAR,HON,4,7,SAR,61,30,31,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by PhastBawls, D. of 30 yards. Returned by Waters, J. for 13 yards. First Down!",Returned
13018,1,95,2,9:08,AUS,19,0,NYS,NYS,AUS,4,4,NYS,67,49,18,1.7999999999999998,3828.0,67.21503602743293,65.49705008206539,62.006434630008776,"Punt by Z, D. of 49 yards.  No return. First Down!",No return
13036,1,95,2,2:17,AUS,19,3,NYS,AUS,NYS,4,7,AUS,83,51,32,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by QB (R), P. of 51 yards.  No return. First Down!",No return
13040,1,95,2,1:18,AUS,19,3,NYS,NYS,AUS,4,10,NYS,69,45,24,0.6000000000000001,7266.0,37.824463929160515,36.67657365922903,26.69640245685873,"Punt by Z, D. of 45 yards. Returned by Jeeta, E. for 15 yards. First Down!",Returned
12990,1,95,1,4:39,AUS,5,0,NYS,NYS,AUS,4,8,NYS,57,53,4,0.31655147024021596,9208.0,20.105911971525305,19.411790799804816,9.564200058496636,"Punt by Z, D. of 53 yards. Returned by Jeeta, E. for 4 yards. First Down!",Returned
13001,1,95,1,0:13,AUS,12,0,NYS,NYS,AUS,4,10,NYS,83,34,49,0.6000000000000001,7266.0,37.824463929160515,36.67657365922903,26.69640245685873,"Punt by Z, D. of 34 yards. Returned by Jeeta, E. for 11 yards. First Down!",Returned
12266,1,100,2,3:40,CHI,14,3,YKW,CHI,YKW,4,2,YKW,45,36,9,5.163248990652829,1587.0,86.30957548398298,82.42913543006698,86.0412401286926,"Punt by Sidekick, S. of 36 yards.  No return. First Down!",No return
12272,1,100,2,2:08,CHI,14,3,YKW,YKW,CHI,4,20,YKW,91,67,24,0.6000000000000001,7266.0,37.824463929160515,36.67657365922903,26.69640245685873,"Punt by Kokot (R), B. of 67 yards.  No return. First Down!",No return
12293,1,100,3,10:06,CHI,17,3,YKW,CHI,YKW,4,4,CHI,62,55,7,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by Sidekick, S. of 55 yards.  No return. First Down!",No return
12242,1,100,2,13:47,CHI,7,3,YKW,YKW,CHI,4,9,YKW,75,45,30,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by Kokot (R), B. of 45 yards. Returned by Shields (C), T. for 12 yards. First Down!",Returned
12258,1,100,2,6:54,CHI,14,3,YKW,YKW,CHI,4,10,CHI,46,26,20,3.227030619158019,2293.0,80.15018664814654,77.18138668322761,78.35441649605147,"Punt by Kokot (R), B. of 46 yards.  Touchback.",Touchback
12333,1,100,4,9:45,CHI,27,3,YKW,YKW,CHI,4,9,YKW,70,60,10,3.3523360500000012,2245.0,80.51914228665683,77.4209288914519,78.82421760748757,"Punt by Kokot (R), B. of 60 yards. Returned by Shields (C), T. for 0 yards. First Down!",Returned
12329,1,100,4,11:28,CHI,27,3,YKW,CHI,YKW,4,4,CHI,76,50,26,0.6,7755.0,34.80336834794687,33.39395821319256,23.11531149458906,"Punt by Sidekick, S. of 50 yards. Returned by Walker (R), M. for 4 yards. First Down!",Returned
12297,1,100,3,8:38,CHI,17,3,YKW,YKW,CHI,4,14,YKW,98,63,35,0.6334457808000001,6921.0,39.9253407413838,39.07199574147185,28.809593448376717,"Punt by Kokot (R), B. of 63 yards. Returned by Shields (C), T. for 10 yards. First Down!",Returned
12311,1,100,3,3:14,CHI,20,3,YKW,YKW,CHI,4,7,YKW,71,47,24,1.6222749792,3913.0,66.03871863877073,64.15738810273699,60.15647850248611,"Punt by Kokot (R), B. of 47 yards. Returned by Shields (C), T. for 0 yards. First Down!",Returned
12325,1,100,4,13:29,CHI,27,3,YKW,YKW,CHI,4,8,YKW,80,61,19,2.3678907252,3266.0,71.65552565326851,69.46280441822296,67.98771570634689,"Punt by Kokot (R), B. of 61 yards.  No return. First Down!",No return
12316,1,100,3,0:45,CHI,20,3,YKW,CHI,YKW,4,9,YKW,46,39,7,2.1513537461053462,3389.0,70.69190033857106,68.54012331987757,66.57831237203861,"Punt by Sidekick, S. of 39 yards.  No return. First Down!",No return
12132,1,93,3,10:34,NOLA,21,17,NYS,NOLA,NYS,4,16,NOLA,67,52,15,0.2,10624.0,12.279711780536505,12.25657632080912,4.33057911670079,"Punt by Louis, L. of 52 yards.  No return. First Down!",No return
12144,1,93,3,6:18,NOLA,21,17,NYS,NYS,NOLA,4,1,NYS,67,45,22,4.568946592,1706.0,85.19836791388141,81.20924455485073,84.47279906405382,"Punt by Z, D. of 45 yards. Returned by Rector, D. for 11 yards. First Down!",Returned
12148,1,93,3,5:09,NOLA,21,17,NYS,NOLA,NYS,4,9,NOLA,68,35,33,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Louis, L. of 35 yards.  No return. First Down!",No return
12155,1,93,3,2:08,NOLA,21,17,NYS,NYS,NOLA,4,3,NOLA,40,20,20,75.03636489054689,139.0,98.80197933848424,98.2699729406024,99.76601345422638,"Punt by Z, D. of 40 yards.  Touchback.",Touchback
12124,1,93,3,13:40,NOLA,21,17,NYS,NYS,NOLA,4,1,NYS,59,47,12,0.654366827671444,6880.0,40.28127441618196,39.395821319256534,29.21906990348055,"Punt by Z, D. of 47 yards.  No return. First Down!",No return
12105,1,93,2,5:10,NOLA,14,10,NYS,NOLA,NYS,4,1,NYS,43,38,5,9.293848183175092,977.0,91.57044882368261,88.01845362196691,92.35887686458028,"Punt by Louis, L. of 38 yards.  No return. First Down!",No return
12109,1,93,2,3:45,NOLA,14,10,NYS,NYS,NOLA,4,2,NYS,88,45,43,3.2,2501.0,78.92178140463582,76.20325599964512,77.13147119040656,"Punt by Z, D. of 45 yards.  No return. First Down!",No return
12195,1,93,4,1:36,NOLA,28,23,NYS,NOLA,NYS,4,9,NOLA,75,45,30,0.4,9023.0,25.805191422866567,24.779310650756333,14.392000584966365,"Punt by Louis, L. of 45 yards.  No return. First Down!",No return
12208,1,100,1,13:10,CHI,0,0,YKW,CHI,YKW,4,7,CHI,57,35,22,0.15827573512010798,10833.0,6.085597708134387,6.487601472740984,0.0,"Punt by Sidekick, S. of 35 yards. Returned by Walker (R), M. for -1 yards. First Down!",Returned
12168,1,93,4,11:01,NOLA,28,17,NYS,NYS,NOLA,4,6,NYS,54,38,16,1.1743961734277935,4929.0,57.218508551089506,55.60928004258528,48.073267037145364,"Punt by Z, D. of 38 yards.  No return. First Down!",No return
12545,1,38,2,12:02,PHI,14,7,ARI,ARI,PHI,4,7,ARI,73,54,19,1.6,4252.0,64.41965448389617,62.533824246994634,58.04877157063469,"Punt by Jay-Jaymison, J. of 54 yards.  No return. First Down!",No return
