,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,recTeam,down,distance,dist2goal,surrenderIndex,percentiles,play
155938,14,3260,1,9:29,SJS,7,0,YKW,SJS,4.0,9.0,31.0,132.583814323249,99.90443196750687,"Punt by Forfeit, N. of 31 yards. Touchback."
84961,9,2343,1,0:37,COL,7,10,OCO,OCO,4.0,9.0,31.0,132.583814323249,99.90443196750687,"Punt by McCormick, M. of 31 yards. Touchback."
60489,6,1567,4,4:30,NO ,10,38,BAL,BAL,4.0,10.0,34.0,131.8235577855183,99.90443196750687,"Punt by Lombardi, J. of 34 yards. Touchback."
168233,15,3394,3,4:18,OCO,6,17,PHI,PHI,4.0,5.0,33.0,130.98962736847508,99.90443196750687,"Punt by Dasistwirklichseinnachname, A. of 33 yards. Touchback."
48369,4,732,4,5:48,ARI,14,9,SJS,ARI,4.0,17.0,35.0,129.83627461930735,99.90443196750687,"Punt by Blewitt, I. of 35 yards. Touchback."
110590,11,2664,4,8:06,COL,27,35,YKW,YKW,4.0,21.0,34.0,125.40016331300534,99.90044996615299,"Punt by Leg, P. of 29 yards. No return."
33832,3,292,4,10:33,YKW,8,35,PHI,PHI,4.0,1.0,40.0,124.75186335643986,99.90044996615299,"Punt by Booter, A. of 40 yards. Touchback."
86897,9,2352,2,10:38,SJS,0,13,PHI,PHI,4.0,6.0,32.0,124.29732592804592,99.90044996615299,"Punt by Corbett, K. of 32 yards. Touchback."
22005,2,76,2,9:24,SJS,0,28,ARI,ARI,4.0,4.0,32.0,124.29732592804592,99.90044996615299,"Punt by Nugent, A. of 32 yards. Touchback."
210357,17,4353,3,2:02,COL,17,47,YKW,YKW,4.0,7.0,32.0,121.8868653412509,99.90044996615299,"Punt by Jones II (R), J. of 32 yards. Touchback."
86755,9,2351,3,5:43,OCO,24,6,NO ,OCO,4.0,5.0,33.0,121.48082030422215,99.90044996615299,"Punt by Blewitt, I. of 33 yards. Touchback."
163816,15,3373,4,5:29,BAL,23,14,SJS,BAL,4.0,6.0,40.0,120.92072196656453,99.90044996615299,"Punt by Donaldson, N. of 40 yards. Touchback."
63785,6,1582,3,4:24,OCO,21,13,AZ ,OCO,4.0,6.0,35.0,120.58178115628834,99.90044996615299,"Punt by Jackson, D. of 35 yards. Touchback."
187861,16,3920,2,3:05,COL,7,17,AUS,AUS,4.0,1.0,35.0,119.88553812504429,99.89646796479911,"Punt by Anderson, A. of 35 yards. Touchback."
4865,1,23,3,7:50,SJS,17,17,BAL,BAL,4.0,2.0,32.0,119.27096304053963,99.89646796479911,"Punt by Laces, K. of 32 yards. Touchback."
219053,18,4572,4,2:53,YKW,9,7,PHI,YKW,4.0,6.0,43.0,118.37118399623954,99.89646796479911,"Punt by Frost (R), B. of 43 yards. Touchback."
90040,9,2366,3,5:44,YKW,28,14,COL,YKW,4.0,7.0,31.0,116.52920206270824,99.88850396209135,"Punt by McCormick, M. of 31 yards. Touchback."
93963,10,2514,2,8:37,BAL,28,6,PHI,BAL,4.0,3.0,34.0,115.09011660004253,99.88850396209135,"Punt by Meoff, B. of 34 yards. Touchback."
133463,12,2902,2,9:12,AZ ,7,14,OCO,OCO,4.0,4.0,34.0,115.09011660004252,99.88651296141441,"Punt by Jackson, D. of 34 yards. Touchback."
33693,3,292,1,6:10,YKW,2,7,PHI,PHI,4.0,6.0,34.0,115.09011660004252,99.88651296141441,"Punt by Booter, A. of 34 yards. Touchback."
82792,9,2333,1,5:52,SJS,0,3,BAL,BAL,4.0,4.0,34.0,115.09011660004252,99.88651296141441,"Punt by Corbett, K. of 34 yards. Touchback."
190095,16,3930,4,7:34,CHI,16,16,NO ,NO ,4.0,6.0,37.0,114.50966199468098,99.88053995938358,"Punt by Fulture, K. of 37 yards. Touchback."
115575,11,2687,4,10:01,SJS,10,31,BAL,BAL,4.0,10.0,32.0,112.84886267659206,99.87257595667583,"Punt by Corbett, K. of 32 yards. Touchback."
15856,2,105,4,6:37,PHI,14,20,ARI,ARI,4.0,3.0,43.0,111.87348044209273,99.86859395532194,"Punt by Harris, S. of 42 yards. No return."
159820,15,3355,1,2:08,SJS,7,0,YKW,SJS,4.0,1.0,37.0,111.00512789355955,99.86461195396807,"Punt by Harris Jr, S. of 37 yards. Touchback."
42664,3,559,3,3:27,OCO,0,20,ARI,ARI,4.0,1.0,37.0,110.96177126094533,99.86461195396807,"Punt by Sims, A. of 37 yards. Touchback."
162222,15,3366,2,14:54,COL,6,3,SJS,COL,4.0,7.0,32.0,110.48651193604083,99.86062995261419,"Punt by Donaldson, N. of 32 yards. Touchback."
212543,18,4541,2,8:33,AUS,7,6,OCO,AUS,4.0,9.0,32.0,110.48651193604083,99.86062995261419,"Punt by Boi, P. of 32 yards. Touchback."
224911,18,4601,1,2:31,OCO,0,3,SJS,SJS,4.0,9.0,32.0,110.48651193604083,99.86062995261419,"Punt by Dasistwirklichseinnachname, A. of 32 yards. Touchback."
8530,1,14,4,4:06,BAL,10,19,YKW,YKW,4.0,1.0,44.0,110.42902696632073,99.86062995261419,"Punt by Harris, S. of 44 yards. Touchback."
21886,2,69,3,0:27,BAL,17,24,YKW,YKW,4.0,1.0,40.0,106.97981838319942,99.84868394855255,"Punt by Turkleton, T. of 40 yards. Touchback."
88008,9,2357,2,6:49,OCO,14,7,BAL,OCO,4.0,3.0,36.0,106.56492277781716,99.84868394855255,"Punt by Turkleton, T. of 36 yards. Touchback."
146894,14,3217,2,1:37,BAL,20,14,COL,BAL,4.0,3.0,36.0,106.56492277781716,99.84868394855255,"Punt by Corbett, K. of 36 yards. Touchback."
106219,10,2570,4,13:53,BAL,21,7,PHI,BAL,4.0,3.0,38.0,105.68970634360191,99.84470194719866,"Punt by Meoff, B. of 38 yards. Touchback."
141902,14,3193,4,13:29,YKW,12,10,BAL,YKW,4.0,7.0,36.0,105.13920511551977,99.84071994584478,"Punt by PuntBot, Z. of 36 yards. Touchback."
17725,2,119,4,7:02,YKW,17,7,LV ,YKW,4.0,6.0,40.0,104.54896998191572,99.8367379444909,"Punt by Blewitt, I. of 40 yards. Touchback."
206180,17,4333,4,3:53,YKW,24,30,BAL,BAL,4.0,9.0,41.0,103.80502487374225,99.8367379444909,"Punt by Bobby (R), K. of 41 yards. Touchback."
194276,17,4212,2,12:55,SJS,10,0,NO ,SJS,4.0,6.0,33.0,103.58110494003827,99.8367379444909,"Punt by Frost, A. of 33 yards. Touchback."
211235,17,4357,4,7:26,BAL,27,24,YKW,BAL,4.0,2.0,43.0,103.56498944892513,99.8367379444909,"Punt by Bobby (R), K. of 43 yards. Touchback."
8680,1,15,3,5:54,ARI,10,3,COL,ARI,4.0,3.0,37.0,103.25886469091608,99.83275594313702,"Punt by Darkapple, J. of 37 yards. Touchback."
199929,17,4303,4,13:46,YKW,20,23,PHI,PHI,4.0,1.0,41.0,102.99721411297347,99.83275594313702,"Punt by Bobby (R), K. of 41 yards. Touchback."
177193,16,3869,4,9:30,BAL,24,16,YKW,BAL,4.0,3.0,42.0,102.0997001097814,99.82877394178314,"Punt by Harris Jr, S. of 42 yards. Touchback."
54635,4,761,4,9:11,PHI,19,9,OCO,PHI,4.0,13.0,33.0,101.80093414073552,99.82877394178314,"Punt by Madlad, B. of 33 yards. Touchback."
80981,9,2324,3,0:19,OCO,19,33,NO ,NO ,4.0,16.0,30.0,100.45995313906418,99.82877394178314,"Punt by Madlad, B. of 30 yards. Touchback."
64471,6,1585,4,9:25,NO ,6,32,SJS,SJS,4.0,4.0,39.0,100.0313300593768,99.82877394178314,"Punt by Lombardi, J. of 39 yards. Touchback."
112849,11,2675,3,12:01,COL,6,24,BAL,BAL,4.0,9.0,31.0,100.0081705832294,99.82877394178314,"Punt by Leg, P. of 31 yards. Touchback."
187076,16,3916,4,4:42,SJS,21,16,BAL,SJS,4.0,11.0,37.0,99.85941008635304,99.82877394178314,"Punt by Brand (R), F. of 37 yards. Touchback."
103181,10,2556,3,5:12,OCO,7,34,NO ,NO ,4.0,8.0,32.0,99.71110537705182,99.82877394178314,"Punt by Madlad, B. of 32 yards. Touchback."
69113,6,1606,4,11:29,PHI,30,12,NO ,NO ,4.0,1.0,30.0,99.43786074243673,99.82877394178314,"Punt by Harris, S. of 30 yards. Touchback."
144342,14,3205,1,11:39,YKW,0,0,OCO,OCO,4.0,5.0,31.0,99.43786074243673,99.82877394178314,"Punt by Forfeit, N. of 31 yards. Touchback."
109613,11,2660,2,1:28,YKW,3,24,OCO,YKW,4.0,1.0,30.0,99.43786074243673,99.82877394178314,"Punt by (R) Anderson, A. of 30 yards. Touchback."
177246,16,3870,1,7:19,COL,0,0,PHI,PHI,4.0,6.0,31.0,99.43786074243673,99.82877394178314,"Punt by Anderson, A. of 31 yards. Touchback."
8293,1,40,4,14:37,ARI,24,7,SJS,ARI,4.0,2.0,38.0,99.14592097474848,99.82479194042926,"Punt by Laces, K. of 38 yards. Touchback."
44629,4,715,4,9:50,COL,20,23,LV ,LV ,4.0,3.0,42.0,98.91251391133032,99.82479194042926,"Punt by Kicksit, B. of 41 yards. No return."
45717,4,720,4,7:42,LV ,13,38,BAL,BAL,4.0,10.0,34.0,97.69270534000577,99.82479194042926,"Punt by Bullard, T. of 34 yards. Touchback."
152514,14,3243,4,14:46,PHI,24,28,NO ,NO ,4.0,10.0,32.0,97.424351455292,99.82479194042926,"Punt by Fulture, K. of 32 yards. Touchback."
184629,16,3904,4,5:54,CHI,9,20,BAL,BAL,4.0,5.0,41.0,96.92387052818606,99.82479194042926,"Punt by Fulture, K. of 41 yards. Touchback."
41820,3,329,3,5:05,YKW,25,14,OCO,YKW,4.0,3.0,36.0,96.75920821180134,99.82479194042926,"Punt by Sims, A. is BLOCKED BY Tiernan, L.. No return."
141613,14,3192,2,8:42,COL,0,17,SJS,SJS,4.0,3.0,35.0,95.90843050003545,99.82080993907537,"Punt by PuntMachine4, Z. of 35 yards. Touchback."
96477,10,2525,3,7:19,PHI,6,41,NO ,NO ,4.0,6.0,34.0,94.77430975116975,99.82080993907537,"Punt by Meoff, B. of 34 yards. Touchback."
104970,10,2564,4,3:26,COL,28,33,NO ,NO ,4.0,13.0,38.0,93.43102886020611,99.81284593636762,"Punt by McCormick, M. of 38 yards. Touchback."
208626,17,4345,4,12:13,YKW,20,10,SJS,YKW,4.0,6.0,38.0,92.1939670448804,99.80886393501373,"Punt by Donaldson, N. of 38 yards. Touchback."
104369,10,2562,1,12:54,BAL,0,0,OCO,OCO,4.0,2.0,33.0,92.07209328003403,99.80886393501373,"Punt by Turkleton, T. of 33 yards. Touchback."
23883,2,101,1,8:13,LV ,0,0,COL,COL,4.0,3.0,33.0,92.07209328003403,99.80886393501373,"Punt by Blewitt, I. of 33 yards. Touchback."
72899,6,1624,2,13:43,SJS,3,0,NO ,SJS,4.0,9.0,33.0,92.07209328003403,99.80886393501373,"Punt by Leg, P. of 33 yards. Touchback."
230613,18,4628,4,5:16,OCO,16,10,YKW,OCO,4.0,1.0,46.0,91.8229598220208,99.80886393501373,"Punt by Donaldson, N. of 46 yards. Touchback."
92044,9,2375,4,9:36,BAL,24,27,NO ,NO ,4.0,5.0,41.0,91.0193042018874,99.80488193365986,"Punt by Turkleton, T. of 41 yards. Touchback."
215543,18,4555,4,5:46,OCO,41,23,AUS,OCO,4.0,3.0,43.0,90.86984960858064,99.80488193365986,"Punt by PuntMachine8, Z. of 41 yards. No return."
