,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,recTeam,down,distance,dist2goal,surrenderIndex,percentiles,NFLpercentiles,play,result
243663,16,3876,4,10:01,PHI,14,17,OCO,OCO,4.0,9.0,32.0,300.93030047091213,99.81650414176366,99.98805399593836,"Punt by Frost, K. of 32 yards. Touchback.",Touchback
303827,19,4825,2,7:41,CHI,0,16,OCO,OCO,4.0,1.0,30.0,298.3135822273102,99.80864003355353,99.98805399593836,"Punt by Fulture, K. of 30 yards. Touchback.",Touchback
76489,6,1567,2,9:54,NO ,3,14,BAL,BAL,4.0,1.0,30.0,298.3135822273102,99.80864003355353,99.98805399593836,"Punt by Lombardi, J. of 30 yards. Touchback.",Touchback
54012,4,758,4,7:16,YKW,27,10,COL,YKW,4.0,1.0,37.0,294.52850806341115,99.8007759253434,99.98407199458448,"Punt by Kicksit, B. of 37 yards. Touchback.",Touchback
137847,9,2359,3,2:37,NO ,20,7,COL,NO ,4.0,2.0,31.0,280.4490548601857,99.79553318653664,99.97610799187672,"Punt by McCormick, M. of 31 yards. Touchback.",Touchback
303346,19,4822,4,4:37,YKW,33,27,COL,YKW,4.0,3.0,39.0,279.5258771923,99.79029044772989,99.97610799187672,"Punt by Harris Jr, S. of 39 yards. Touchback.",Touchback
123183,8,1929,2,1:54,NO ,13,14,OCO,OCO,4.0,1.0,32.0,276.21627984010206,99.77980497011639,99.97610799187672,"Punt by Leg, P. of 32 yards. Touchback.",Touchback
1384,1,54,1,3:10,COL,3,0,YKW,COL,4.0,1.0,32.0,276.21627984010206,99.77980497011639,99.97610799187672,"Punt by Booter, A. of 32 yards. Touchback.",Touchback
313634,19,4872,2,10:13,COL,0,3,BAL,BAL,4.0,1.0,32.0,276.21627984010206,99.77980497011639,99.97610799187672,"Punt by Harris Jr, S. of 32 yards. Touchback.",Touchback
198721,13,3037,4,5:36,OCO,20,28,PHI,PHI,4.0,10.0,31.0,274.30168187917843,99.76931949250289,99.97610799187672,"Punt by Anderson, A. of 31 yards. Touchback.",Touchback
15010,2,113,3,3:44,PHI,13,24,SJS,SJS,4.0,1.0,32.0,271.1578847030553,99.76407675369613,99.97610799187672,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
209540,14,3205,4,8:10,YKW,0,31,OCO,OCO,4.0,7.0,32.0,269.15268378063513,99.75883401488937,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
64236,5,1381,3,6:40,YKW,13,17,PHI,PHI,4.0,5.0,30.0,268.48222400457917,99.75359127608263,99.97610799187672,"Punt by Lombardi, J. of 30 yards. Touchback.",Touchback
37766,3,310,3,5:52,YKW,7,13,COL,COL,4.0,1.0,33.0,268.06020972358834,99.74834853727587,99.97610799187672,"Punt by Booter, A. of 33 yards. Touchback.",Touchback
283937,18,4572,1,5:15,YKW,3,0,PHI,YKW,4.0,2.0,31.0,265.167628646498,99.73786305966237,99.97610799187672,"Punt by Frost (R), B. of 31 yards. Touchback.",Touchback
40666,3,324,1,7:47,COL,0,3,PHI,PHI,4.0,2.0,31.0,265.167628646498,99.73786305966237,99.97610799187672,"Punt by Kicksit, B. of 31 yards. Touchback.",Touchback
53655,4,757,1,1:56,ARI,0,3,LV ,LV ,4.0,2.0,31.0,265.167628646498,99.73786305966237,99.97610799187672,"Punt by Ronaldo, C. of 31 yards. Touchback.",Touchback
30158,3,275,4,14:09,COL,16,13,LV ,COL,4.0,4.0,33.0,256.8929279191453,99.72737758204886,99.97610799187672,"Punt by Walsh, B. of 33 yards. Touchback.",Touchback
138504,9,2362,3,5:55,YKW,17,23,OCO,OCO,4.0,3.0,32.0,256.7438331385864,99.72213484324212,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
179940,12,2888,4,12:16,OCO,17,9,BAL,OCO,4.0,4.0,34.0,253.72193312360054,99.71689210443536,99.97610799187672,"Punt by Turkleton, T. of 34 yards. Touchback.",Touchback
313350,19,4870,4,8:05,BAL,20,27,NO ,NO ,4.0,8.0,34.0,251.19805742948614,99.7116493656286,99.97610799187672,"Punt by Brand, F. of 34 yards. Touchback.",Touchback
27432,3,262,4,12:01,SJS,14,20,COL,COL,4.0,9.0,32.0,249.28144032326026,99.70640662682185,99.97610799187672,"Punt by Blewitt, I. of 32 yards. Touchback.",Touchback
79259,6,1579,4,12:32,BAL,23,16,COL,BAL,4.0,6.0,34.0,247.56144092260573,99.7011638880151,99.97610799187672,"Punt by Leg, P. of 34 yards. Touchback.",Touchback
45275,4,718,4,13:51,COL,15,13,PHI,COL,4.0,2.0,35.0,244.22803168086156,99.69592114920835,99.97610799187672,"Punt by Harris, S. of 35 yards. Touchback.",Touchback
528,1,49,4,14:01,OCO,10,3,ARI,OCO,4.0,2.0,35.0,240.66290687818633,99.69067841040159,99.97610799187672,"Punt by Nugent, A. of 35 yards. Touchback.",Touchback
122969,8,1928,3,11:42,BAL,16,6,SJS,BAL,4.0,2.0,30.0,240.50336735318626,99.68543567159485,99.97610799187672,"Punt by Blewitt, I. of 30 yards. Touchback.",Touchback
108907,8,1864,1,4:53,OCO,14,7,NO ,OCO,4.0,6.0,30.0,238.65086578184813,99.68019293278809,99.97610799187672,"Punt by Leg, P. of 30 yards. Touchback.",Touchback
138983,9,2364,4,13:07,COL,21,7,PHI,COL,4.0,2.0,34.0,234.72735128958914,99.67495019398133,99.97610799187672,"Punt by (R) Meoff, B. of 34 yards. Touchback.",Touchback
226142,15,3360,4,5:01,PHI,16,16,SJS,PHI,4.0,2.0,36.0,232.75135167989373,99.66970745517459,99.97610799187672,"Punt by Donaldson, N. of 36 yards. Touchback.",Touchback
251873,16,3915,3,3:53,OCO,17,6,COL,OCO,4.0,6.0,30.0,232.10126513605312,99.66446471636783,99.97610799187672,"Punt by Anderson, A. of 30 yards. Touchback.",Touchback
261917,17,4289,3,12:06,COL,20,14,YKW,COL,4.0,1.0,33.0,231.3928281929087,99.65922197756107,99.97610799187672,"Punt by Bobby (R), K. of 33 yards. Touchback.",Touchback
257546,17,4203,4,6:30,BAL,35,24,YKW,BAL,4.0,5.0,36.0,227.97559809673453,99.65397923875433,99.97610799187672,"Punt by Bobby (R), K. of 36 yards. Touchback.",Touchback
18767,2,93,4,3:43,LV ,13,16,BAL,BAL,4.0,6.0,39.0,227.6477914899239,99.64873649994757,99.97610799187672,"Punt by Blewitt, I. of 39 yards. Touchback.",Touchback
12115,2,125,3,10:14,LV ,7,5,PHI,LV ,4.0,2.0,32.0,226.14239077782494,99.64349376114082,99.97610799187672,"Punt by Legman1, Z. of 32 yards. Touchback.",Touchback
157883,11,2655,3,12:10,OCO,10,3,BAL,OCO,4.0,2.0,32.0,222.0586643383652,99.63825102233406,99.97610799187672,"Punt by Turkleton, T. of 32 yards. Touchback.",Touchback
51890,4,748,4,6:47,PHI,19,28,LV ,LV ,4.0,4.0,36.0,221.9707986569728,99.63300828352732,99.97610799187672,"Punt by Harris, S. of 36 yards. Touchback.",Touchback
88537,6,1622,1,8:59,YKW,0,7,PHI,PHI,4.0,3.0,32.0,220.97302387208165,99.62514417531719,99.97610799187672,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
87733,6,1618,2,13:17,OCO,13,7,PHI,OCO,4.0,3.0,32.0,220.97302387208165,99.62514417531719,99.97610799187672,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
2851,1,19,3,7:04,ARI,17,6,OCO,ARI,4.0,3.0,31.0,220.32450304914406,99.61728006710706,99.97610799187672,"Punt by Walsh, B. of 31 yards. Touchback.",Touchback
197033,13,3029,4,2:19,BAL,13,14,OCO,OCO,4.0,5.0,40.0,215.17140642512842,99.6120373283003,99.97212599052284,"Punt by Frost, A. of 40 yards. Touchback.",Touchback
68428,5,1400,4,10:36,PHI,12,24,OCO,OCO,4.0,7.0,32.0,213.5510049274606,99.60679458949355,99.97212599052284,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
50459,4,742,3,10:01,LV ,3,38,OCO,OCO,4.0,1.0,32.0,212.69984198899766,99.6015518506868,99.97212599052284,"Punt by Gooney, W. of 32 yards. Touchback.",Touchback
165707,11,2691,2,11:33,YKW,7,21,COL,COL,4.0,1.0,32.0,207.16220988007655,99.59630911188005,99.97212599052284,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
303715,19,4824,4,8:35,NO ,17,10,SJS,NO ,4.0,16.0,31.0,206.95167506941957,99.59106637307329,99.97212599052284,"Punt by Bobby, K. of 31 yards. Touchback.",Touchback
97067,7,1735,4,4:47,AZ ,26,34,OCO,OCO,4.0,5.0,39.0,206.44699907708835,99.58582363426655,99.97212599052284,"Punt by Jackson, D. of 39 yards. Touchback.",Touchback
254276,16,3926,4,8:57,PHI,34,31,SJS,PHI,4.0,6.0,37.0,200.78819200185023,99.58058089545979,99.96814398916895,"Punt by Donaldson, N. of 37 yards. Touchback.",Touchback
46595,4,724,5,12:59,ARI,33,27,OCO,ARI,4.0,2.0,44.0,200.47333541434307,99.57533815665303,99.96814398916895,"Punt by Madlad, B. of 44 yards. Touchback.",Touchback
75193,5,1432,3,12:42,YKW,6,19,OCO,OCO,4.0,2.0,31.0,199.39838119998768,99.57009541784629,99.96814398916895,"Punt by Lombardi, J. of 31 yards. Touchback.",Touchback
295167,18,4626,3,12:57,BAL,14,6,YKW,BAL,4.0,5.0,31.0,199.24580275208584,99.56485267903953,99.96814398916895,"Punt by Donaldson, N. of 31 yards. Touchback.",Touchback
131353,9,2329,2,0:27,PHI,17,7,AZ ,PHI,4.0,3.0,31.0,198.87572148487348,99.55960994023278,99.96814398916895,"Punt by Jackson, D. of 31 yards. Touchback.",Touchback
35730,3,301,2,8:15,SJS,10,7,OCO,SJS,4.0,6.0,31.0,198.87572148487345,99.55436720142602,99.96814398916895,"Punt by Sims, A. of 31 yards. Touchback.",Touchback
114296,8,1888,3,11:38,AZ ,3,7,COL,COL,4.0,1.0,34.0,193.39789382971276,99.54912446261928,99.95619798510731,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
52086,4,749,3,0:23,BAL,9,38,YKW,YKW,4.0,2.0,34.0,192.72140789678835,99.54388172381252,99.95619798510731,"Punt by Turkleton, T. of 34 yards. Touchback.",Touchback
22834,2,88,2,6:54,OCO,14,9,LV ,OCO,4.0,1.0,34.0,191.81686100007087,99.53863898500576,99.95619798510731,"Punt by Blewitt, I. of 34 yards. Touchback.",Touchback
314357,19,4875,3,6:13,BAL,14,31,YKW,YKW,4.0,3.0,32.0,189.9865042523509,99.53339624619902,99.95619798510731,"Punt by Brand, F. of 32 yards. Touchback.",Touchback
159691,11,2663,4,11:29,PHI,20,27,BAL,BAL,4.0,13.0,30.0,188.64003604772213,99.52815350739226,99.95221598375343,"Punt by (R) Fulture, K. of 30 yards. Touchback.",Touchback
70520,5,1410,4,5:04,COL,20,24,SJS,SJS,4.0,2.0,41.0,186.2107566921594,99.5229107685855,99.95221598375343,"Punt by Leg, P. of 41 yards. Touchback.",Touchback
61323,5,1368,1,2:23,BAL,0,7,SJS,SJS,4.0,2.0,33.0,184.14418656006805,99.512425290972,99.94823398239956,"Punt by Turkleton, T. of 33 yards. Touchback.",Touchback
153140,10,2559,2,1:17,OCO,6,9,PHI,PHI,4.0,2.0,33.0,184.14418656006805,99.512425290972,99.94823398239956,"Punt by Madlad, B. of 33 yards. Touchback.",Touchback
260971,17,4220,1,7:33,OCO,7,0,AZ ,OCO,4.0,3.0,33.0,184.14418656006805,99.512425290972,99.94823398239956,"Punt by Lawes, S. of 33 yards. Touchback.",Touchback
45474,4,719,3,2:12,ARI,19,10,LV ,ARI,4.0,6.0,32.0,180.60212923161106,99.5019398133585,99.94823398239956,"Punt by Bullard, T. of 32 yards. Touchback.",Touchback
310612,19,4857,4,8:59,NO ,17,27,CHI,CHI,4.0,5.0,36.0,180.1365677328348,99.49669707455175,99.94823398239956,"Punt by Prohaska (R), H. of 36 yards. Touchback.",Touchback
64287,5,1381,4,6:08,YKW,19,24,PHI,PHI,4.0,1.0,42.0,175.60883325617868,99.49145433574499,99.94823398239956,"Punt by Lombardi, J. of 42 yards. Touchback.",Touchback
166719,11,2695,5,7:41,NO ,33,30,BAL,NO ,4.0,3.0,47.0,175.32640819898745,99.48621159693825,99.94425198104567,"Punt by Turkleton, T. of 47 yards. Touchback.",Touchback
284918,18,4576,4,10:35,COL,27,20,NO ,COL,4.0,5.0,37.0,171.91367209516585,99.48096885813149,99.94425198104567,"Punt by Frost, A. of 37 yards. Touchback.",Touchback
273089,17,4342,4,4:10,NO ,23,20,OCO,NO ,4.0,2.0,42.0,168.58743201137756,99.47572611932473,99.94026997969179,"Punt by Dasistwirklichseinnachname, A. of 42 yards. Touchback.",Touchback
213105,14,3222,4,5:02,OCO,17,10,AZ ,OCO,4.0,11.0,34.0,167.32253808415444,99.47048338051798,99.94026997969179,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
188243,12,2927,4,6:37,PHI,24,24,COL,COL,4.0,2.0,37.0,167.02621131220087,99.46524064171123,99.94026997969179,"Punt by Fulture, K. of 37 yards. Touchback.",Touchback
260159,17,4216,2,13:00,NO ,21,7,AZ ,NO ,4.0,2.0,32.0,165.72976790406125,99.45999790290448,99.93230597698403,"Punt by Lawes, S. of 32 yards. Touchback.",Touchback
126013,9,2305,1,2:17,NO ,3,0,AZ ,NO ,4.0,6.0,32.0,165.72976790406122,99.44689105588759,99.93230597698403,"Punt by Jackson, D. of 32 yards. Touchback.",Touchback
21350,2,79,1,7:18,SJS,0,7,OCO,OCO,4.0,5.0,32.0,165.72976790406122,99.44689105588759,99.93230597698403,"Punt by Nugent, A. of 32 yards. Touchback.",Touchback
197918,13,3034,1,2:34,PHI,3,0,YKW,PHI,4.0,6.0,32.0,165.72976790406122,99.44689105588759,99.93230597698403,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
268723,17,4322,1,9:10,AUS,0,0,SJS,AUS,4.0,1.0,31.0,165.72976790406122,99.44689105588759,99.93230597698403,"Punt by Donaldson, N. of 31 yards. Touchback.",Touchback
7301,1,29,3,0:00,YKW,9,17,BAL,BAL,4.0,1.0,38.0,159.9398884399704,99.43378420887072,99.92832397563015,"Punt by Booter, A. of 38 yards. Touchback.",Touchback
49544,4,738,2,10:33,BAL,0,7,SJS,SJS,4.0,9.0,30.0,159.10057718789878,99.42592010066059,99.92434197427627,"Punt by Turkleton, T. is BLOCKED BY Sharpei, V.. No return.",No return
111991,8,1878,1,9:27,COL,0,7,YKW,YKW,4.0,8.0,30.0,159.10057718789878,99.42592010066059,99.92434197427627,"Punt by McCormick, M. of 30 yards. Touchback.",Touchback
207619,14,3196,4,10:28,SJS,13,34,NO ,NO ,4.0,10.0,30.0,155.7101706169216,99.41805599245046,99.92035997292238,"Punt by Legman3, Z. of 30 yards. Touchback.",Touchback
81503,6,1590,1,2:47,AZ ,0,7,BAL,BAL,4.0,3.0,34.0,153.4534888000567,99.40757051483695,99.92035997292238,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
171718,11,2719,2,10:03,PHI,3,10,BAL,BAL,4.0,2.0,34.0,153.4534888000567,99.40757051483695,99.92035997292238,"Punt by (R) Fulture, K. of 34 yards. Touchback.",Touchback
217237,14,3242,2,9:08,AZ ,7,14,COL,COL,4.0,3.0,34.0,153.4534888000567,99.40757051483695,99.92035997292238,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
276288,17,4357,4,2:01,BAL,27,24,YKW,BAL,4.0,15.0,36.0,152.73870029128636,99.39708503722345,99.92035997292238,"Punt by Bobby (R), K. of 36 yards. Touchback.",Touchback
17524,2,98,4,5:41,ARI,12,10,COL,ARI,4.0,1.0,43.0,152.6327043598733,99.39184229841669,99.92035997292238,"Punt by Kicksit, B. of 43 yards. Touchback.",Touchback
312513,19,4866,4,6:30,AZ ,24,34,YKW,YKW,4.0,7.0,36.0,151.9837320644897,99.38659955960993,99.92035997292238,"Punt by Frost, A. of 36 yards. Touchback.",Touchback
259814,17,4214,3,8:48,COL,10,20,CHI,CHI,4.0,1.0,34.0,151.268529023498,99.38135682080319,99.92035997292238,"Punt by Jones II (R), J. of 34 yards. Touchback.",Touchback
23102,2,102,3,3:45,BAL,9,14,ARI,ARI,4.0,5.0,34.0,150.48572230377124,99.37611408199643,99.91637797156851,"Punt by Turkleton, T. of 34 yards. Touchback.",Touchback
82146,6,1592,5,3:14,YKW,27,27,NO ,YKW,4.0,9.0,42.0,149.33596349987883,99.37087134318968,99.91637797156851,"Punt by Lombardi, J. of 42 yards. Touchback.",Touchback
4074,1,37,4,11:17,SJS,10,20,OCO,OCO,4.0,4.0,36.0,144.83658788939272,99.36562860438293,99.91637797156851,"Punt by Laces, K. of 36 yards. Touchback.",Touchback
44595,4,715,3,4:36,COL,20,16,LV ,COL,4.0,5.0,34.0,143.0536340465876,99.36038586557618,99.91637797156851,"Punt by Bullard, T. of 34 yards. Touchback.",Touchback
313563,19,4871,4,4:51,PHI,3,19,YKW,YKW,4.0,3.0,41.0,142.48597753058806,99.35514312676942,99.91637797156851,"Punt by Frost, B. of 40 yards. No return.",No return
110374,8,1870,5,9:00,BAL,34,28,NO ,BAL,4.0,14.0,40.0,142.32419690346913,99.34990038796268,99.91637797156851,"Punt by Leg, P. of 40 yards. Touchback.",Touchback
277894,18,4542,4,5:41,PHI,23,36,YKW,YKW,4.0,11.0,33.0,141.75922122516576,99.34465764915592,99.91637797156851,"Punt by PuntMachine4, Z. of 33 yards. Touchback.",Touchback
116496,8,1898,3,2:04,OCO,19,7,BAL,OCO,4.0,2.0,35.0,140.72534441479198,99.33941491034916,99.91637797156851,"Punt by Turkleton, T. of 35 yards. Touchback.",Touchback
166017,11,2692,3,10:55,AZ ,10,20,OCO,OCO,4.0,2.0,33.0,140.1391754892328,99.33417217154242,99.91637797156851,"Punt by Jackson, D. of 33 yards. Touchback.",Touchback
113636,8,1885,3,5:11,AZ ,14,17,YKW,YKW,4.0,4.0,34.0,138.6072246428935,99.32892943273566,99.90841396886076,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
105989,7,1775,1,0:06,NO ,0,3,PHI,PHI,4.0,5.0,33.0,138.10813992005103,99.31844395512215,99.90841396886076,"Punt by Leg, P. of 33 yards. Touchback.",Touchback
273961,17,4347,2,7:06,AUS,10,14,PHI,PHI,4.0,6.0,33.0,138.10813992005103,99.31844395512215,99.90841396886076,"Punt by Crisco, A. of 33 yards. Touchback.",Touchback
34997,3,298,1,4:37,BAL,0,0,SJS,BAL,4.0,1.0,32.0,138.10813992005103,99.31844395512215,99.90841396886076,"Punt by Blewitt, I. of 32 yards. Touchback.",Touchback
263466,17,4296,4,5:38,AZ ,17,30,AUS,AUS,4.0,7.0,37.0,137.36695184318987,99.30795847750865,99.90841396886076,"Punt by Lawes, S. of 37 yards. Touchback.",Touchback
7504,1,30,3,0:31,SJS,17,17,COL,SJS,4.0,5.0,32.0,137.243713531587,99.30271573870189,99.90841396886076,"Punt by Darkapple, J. of 32 yards. Touchback.",Touchback
276854,18,4537,4,4:27,YKW,14,17,SJS,SJS,4.0,2.0,43.0,136.8853407367587,99.29747299989515,99.90841396886076,"Punt by Legman1, Z. of 43 yards. Touchback.",Touchback
206957,14,3193,4,5:18,YKW,12,17,BAL,BAL,4.0,11.0,35.0,136.0285947618677,99.29223026108839,99.90841396886076,"Punt by PuntMachine6, Z. of 35 yards. Touchback.",Touchback
6508,1,10,4,9:16,YKW,0,17,OCO,OCO,4.0,2.0,39.0,135.29373366825823,99.28698752228163,99.90841396886076,"Punt by Booter, A. of 39 yards. Touchback.",Touchback
141243,9,2375,1,5:28,BAL,7,2,NO ,BAL,4.0,1.0,36.0,133.20615347227144,99.2791234140715,99.90841396886076,"Punt by Blewitt, I. of 36 yards. Touchback.",Touchback
11414,2,122,1,3:58,OCO,7,0,BAL,OCO,4.0,1.0,36.0,133.20615347227144,99.2791234140715,99.90841396886076,"Punt by Turkleton, T. of 36 yards. Touchback.",Touchback
167785,11,2700,4,12:55,COL,27,24,AZ ,COL,4.0,9.0,35.0,132.79421344265845,99.27125930586138,99.90841396886076,"Punt by Jackson, D. of 35 yards. Touchback.",Touchback
220970,14,3260,1,9:29,SJS,7,0,YKW,SJS,4.0,9.0,31.0,132.583814323249,99.26077382824788,99.90443196750687,"Punt by Forfeit, N. of 31 yards. Touchback.",Touchback
114450,8,1889,1,11:11,NO ,0,0,YKW,NO ,4.0,2.0,31.0,132.583814323249,99.26077382824788,99.90443196750687,"Punt by Forfeit, N. of 31 yards. Touchback.",Touchback
134309,9,2343,1,0:37,COL,7,10,OCO,OCO,4.0,9.0,31.0,132.583814323249,99.26077382824788,99.90443196750687,"Punt by McCormick, M. of 31 yards. Touchback.",Touchback
194300,13,3016,4,8:21,OCO,17,33,YKW,YKW,4.0,11.0,32.0,132.2496160615938,99.25028835063438,99.90443196750687,"Punt by Anderson, A. of 32 yards. Touchback.",Touchback
