,S,gameID,homeTeam,awayTeam,teamPoss,Q,time,totTime,awayScore,homeScore,down,distance,dist2goal,play
26,17,4203,YKW,BAL,YKW,1,6:24,3084,0,7,3,5,32,"Rush by Canton, J. for a short gain. Tackle by Roenick, A.. FUMBLE by Canton, J., recovered by Marshall, M.."
27,17,4203,YKW,BAL,YKW,1,6:08,3068,0,7,4,5,32,"Pass by Bigsby, C., complete to Swift, N. for 32 yds."
28,17,4203,YKW,BAL,YKW,1,5:16,3016,0,14,,,,TOUCHDOWN! (Bobby (R) kick good)
29,17,4203,YKW,BAL,YKW,1,5:16,3016,0,14,,,70,"Bobby (R), K. kicks off."
30,17,4203,YKW,BAL,BAL,1,5:16,3016,0,14,,,,"Maddox, E. takes it down the middle."
31,17,4203,YKW,BAL,BAL,1,5:16,3016,0,14,,,,"Maddox, E. sheds a tackler."
32,17,4203,YKW,BAL,BAL,1,5:16,3016,0,14,,,,A 43 yard return.
33,17,4203,YKW,BAL,BAL,1,5:04,3004,0,14,1,10,56,"Rush by Jimbo, D. for 0 yds. Tackle by Alexander, N.."
34,17,4203,YKW,BAL,BAL,1,4:43,2983,0,14,2,10,56,"Pass by Havran, C., complete to Nagasawa, Y. for 16 yds. Tackle by Storm, J.."
35,17,4203,YKW,BAL,BAL,1,4:05,2945,0,14,1,10,40,"Rush by Jeremy, R. for -1 yds. Tackle by Maulolo, C.."
36,17,4203,YKW,BAL,BAL,1,3:54,2934,0,14,2,11,41,"Pass by Havran, C., complete to Espeeyeeseetee, A. for 19 yds. Tackle by Snuggles, J.."
37,17,4203,YKW,BAL,BAL,1,3:08,2888,0,14,1,10,22,"Pass by Havran, C., complete to Maddox, E. for 12 yds. Tackle by Snuggles, J.."
38,17,4203,YKW,BAL,BAL,1,2:34,2854,0,14,1,10,10,"Rush by Jimbo, D. for 6 yds. Tackle by Brown, M.."
39,17,4203,YKW,BAL,BAL,1,2:11,2831,0,14,2,4,4,"Pass by Havran, C., complete to Maddox, E. for 4 yds."
40,17,4203,YKW,BAL,BAL,1,1:51,2811,7,14,,,,TOUCHDOWN! (Brand kick good)
41,17,4203,YKW,BAL,BAL,1,1:51,2811,7,14,,,70,"Brand, F. kicks off."
42,17,4203,YKW,BAL,YKW,1,1:51,2811,7,14,,,85,"Kickoff of 67 yards. Returned by Snuggles, J. for 12 yards."
43,17,4203,YKW,BAL,YKW,1,1:46,2806,7,14,1,10,85,"Rush by Canton, J. for 6 yds. Tackle by Terim, F.."
44,17,4203,YKW,BAL,YKW,1,1:12,2772,7,14,2,4,79,"Pass by Bigsby, C. to Swift, N. falls incomplete."
45,17,4203,YKW,BAL,YKW,1,1:08,2768,7,14,3,4,79,"Pass by Bigsby, C. to Helanen, T. is incomplete. Broken up by Asipi III, A.."
46,17,4203,YKW,BAL,BAL,1,1:02,2762,7,14,4,4,79,"Punt by Bobby (R), K. of 46 yards."
47,17,4203,YKW,BAL,BAL,1,1:02,2762,7,14,,,,"Hornbacher, A. returns the punt down the middle."
48,17,4203,YKW,BAL,BAL,1,1:02,2762,7,14,,,,"Returned by Hornbacher, A. for 35 yards."
49,17,4203,YKW,BAL,BAL,1,0:49,2749,7,14,1,10,32,"Pass by Havran, C., complete to Espeeyeeseetee, A. for 3 yds. Tackle by Snuggles, J.."
50,17,4203,YKW,BAL,BAL,1,0:25,2725,7,14,2,7,29,"Pass by Havran, C., complete to Espeeyeeseetee, A. for 17 yds. Tackle by Storm, J.."
51,17,4203,YKW,BAL,BAL,2,15:00,2700,7,14,1,10,12,"Rush by Jimbo, D. for 7 yds. Tackle by Uchiha, L.."
52,17,4203,YKW,BAL,BAL,2,14:25,2665,7,14,2,3,5,Rush by Dorfus Jimbo for 5 yds.
53,17,4203,YKW,BAL,BAL,2,14:16,2656,14,14,,,,TOUCHDOWN! (Brand kick good)
54,17,4203,YKW,BAL,BAL,2,14:16,2656,14,14,,,70,"Brand, F. kicks off."
55,17,4203,YKW,BAL,YKW,2,14:16,2656,14,14,,,70,"Kickoff of 62 yards. Returned by Grithead, D. for 22 yards."
56,17,4203,YKW,BAL,YKW,2,14:09,2649,14,14,1,10,70,"Pass by Bigsby, C. to Parker, J. falls incomplete."
57,17,4203,YKW,BAL,YKW,2,14:04,2644,14,14,2,10,70,"Rush by Marshall, M. for 3 yds. Tackle by Hobbs, J.."
58,17,4203,YKW,BAL,YKW,2,13:51,2631,14,14,3,7,67,"Pass by Bigsby, C., complete to Canton, J. for 6 yds. Tackle by Horne, B.."
59,17,4203,YKW,BAL,YKW,2,13:19,2599,14,14,4,1,61,"Pass by Bigsby, C., to Parker, J.. INTERCEPTION by Terim, F. at the YKW - 48 yard line and returned for 5 yards."
60,17,4203,YKW,BAL,BAL,2,12:56,2576,14,14,1,10,43,"Rush by Jeremy, R. for 1 yds. Tackle by Leaf Jr., R.."
61,17,4203,YKW,BAL,BAL,2,12:36,2556,14,14,2,9,42,"Pass by Havran, C., complete to Nagasawa, Y. for 8 yds. Tackle by Selich, A.."
62,17,4203,YKW,BAL,BAL,2,11:58,2518,14,14,3,1,34,"Pass by Havran, C., complete to Maddox, E. for 8 yds. Tackle by Snuggles, J.."
63,17,4203,YKW,BAL,BAL,2,11:26,2486,14,14,1,10,26,"Rush by Trevor, C. for 4 yds. Tackle by Skinner, Z.."
64,17,4203,YKW,BAL,BAL,2,11:04,2464,14,14,2,6,22,"Pass by Havran, C., complete to L'Alto, V. for 11 yds. Tackle by Kroustis, G.."
65,17,4203,YKW,BAL,BAL,2,10:34,2434,14,14,1,10,11,"Rush by Jimbo, D. for 1 yds. Tackle by Grithead, D.."
66,17,4203,YKW,BAL,BAL,2,10:14,2414,14,14,2,9,10,"Pass by Havran, C., complete to Maddox, E. for 10 yds."
67,17,4203,YKW,BAL,BAL,2,9:54,2394,21,14,,,,TOUCHDOWN! (Brand kick good)
68,17,4203,YKW,BAL,BAL,2,9:54,2394,21,14,,,70,"Brand, F. kicks off."
69,17,4203,YKW,BAL,YKW,2,9:54,2394,21,14,,,,The kick sails into the endzone.
70,17,4203,YKW,BAL,YKW,2,9:54,2394,21,14,,,,"Snuggles, J. takes it out of the endzone!"
71,17,4203,YKW,BAL,YKW,2,9:54,2394,21,14,,,,"Snuggles, J. takes it down the middle."
72,17,4203,YKW,BAL,YKW,2,9:54,2394,21,14,,,,"Snuggles, J. waits for blockers."
73,17,4203,YKW,BAL,YKW,2,9:54,2394,21,14,,,,A 41 yard return.
74,17,4203,YKW,BAL,YKW,2,9:44,2384,21,14,1,10,59,"Pass by Bigsby, C., to Marshall, M.. INTERCEPTION by Green, W. at the YKW - 48 yard line and returned for 48 yards."
75,17,4203,YKW,BAL,BAL,2,9:23,2363,21,14,1,1,1,"Rush by Jeremy, R. for 0 yds. Tackle by Selich, A.."
76,17,4203,YKW,BAL,BAL,2,8:59,2339,21,14,2,1,1,Rush by Dorfus Jimbo for 1 yds.
77,17,4203,YKW,BAL,BAL,2,8:51,2331,28,14,,,,TOUCHDOWN! (Brand kick good)
78,17,4203,YKW,BAL,BAL,2,8:51,2331,28,14,,,70,"Brand, F. kicks off."
79,17,4203,YKW,BAL,YKW,2,8:51,2331,28,14,,,80,"Kickoff of 67 yards. Returned by Grithead, D. for 17 yards."
80,17,4203,YKW,BAL,YKW,2,8:44,2324,28,14,1,10,80,"Rush by Marshall, M. for 3 yds. Tackle by Horne, B.."
81,17,4203,YKW,BAL,YKW,2,8:16,2296,28,14,2,7,77,"Pass by Bigsby, C. to Helanen, T. falls incomplete."
82,17,4203,YKW,BAL,YKW,2,8:09,2289,28,14,3,7,77,"Pass by Bigsby, C. to Canton, J. falls incomplete."
83,17,4203,YKW,BAL,BAL,2,8:04,2284,28,14,4,7,77,"Punt by Bobby (R), K. of 47 yards."
84,17,4203,YKW,BAL,BAL,2,8:04,2284,28,14,,,,"Returned by Maddox, E. for -3 yards."
85,17,4203,YKW,BAL,BAL,2,7:53,2273,28,14,1,10,73,"Rush by Jimbo, D. for 7 yds. Tackle by Selich, A.."
86,17,4203,YKW,BAL,BAL,2,7:22,2242,28,14,2,3,66,"Rush by Jimbo, D. for 4 yds. Tackle by Selich, A.."
87,17,4203,YKW,BAL,BAL,2,7:07,2227,28,14,1,10,62,"Rush by Jeremy, R. for a short gain. Tackle by Skinner, Z.. FUMBLE recovered by Maulolo, C. at the BAL - 38 yard line and returned for 0 yards."
88,17,4203,YKW,BAL,YKW,2,7:00,2220,28,14,1,10,38,"Bigsby, C. SACKED by Fatih Terim - SS for -6 yds."
89,17,4203,YKW,BAL,YKW,2,6:40,2200,28,14,2,16,44,"Bigsby, C. throws the ball away to avoid the sack."
90,17,4203,YKW,BAL,YKW,2,6:16,2176,28,14,3,16,44,"Pass by Bigsby, C. to Canton, J. is incomplete. Broken up by Hornbacher, A.."
91,17,4203,YKW,BAL,BAL,2,6:09,2169,28,14,4,16,44,"Punt by Bobby (R), K. of 44 yards. Touchback."
92,17,4203,YKW,BAL,BAL,2,6:05,2165,28,14,1,10,80,"Rush by Jeremy, R. for 1 yds. Tackle by Uchiha, L.."
93,17,4203,YKW,BAL,BAL,2,5:40,2140,28,14,2,9,79,"Pass by Havran, C. to Espeeyeeseetee, A. falls incomplete."
94,17,4203,YKW,BAL,BAL,2,5:33,2133,28,14,3,9,79,"Pass by Havran, C. to Maddox, E. falls incomplete."
95,17,4203,YKW,BAL,YKW,2,5:28,2128,28,14,4,9,79,"Punt by Brand, F. of 30 yards. No return."
96,17,4203,YKW,BAL,YKW,2,5:21,2121,28,14,1,10,51,"Pass by Bigsby, C. to Marshall, M. falls incomplete."
97,17,4203,YKW,BAL,YKW,2,5:16,2116,28,14,2,10,51,"Rush by Marshall, M. for 0 yds. Tackle by Horne, B.."
98,17,4203,YKW,BAL,YKW,2,4:55,2095,28,14,3,10,51,"Pass by Bigsby, C., complete to Parker, J. for 33 yds. Tackle by Hornbacher, A.."
99,17,4203,YKW,BAL,YKW,2,3:54,2034,28,14,1,10,18,"Pass by Bigsby, C., complete to Canton, J. for 12 yds. Tackle by Green, W.."
100,17,4203,YKW,BAL,YKW,2,3:25,2005,28,14,1,6,6,"Pass by Bigsby, C., complete to Parker, J. for 6 yds."
101,17,4203,YKW,BAL,YKW,2,3:05,1985,28,21,,,,TOUCHDOWN! (Bobby (R) kick good)
102,17,4203,YKW,BAL,YKW,2,3:05,1985,28,21,,,70,"Bobby (R), K. kicks off."
103,17,4203,YKW,BAL,BAL,2,3:05,1985,28,21,,,66,"Kickoff of 66 yards. Returned by Maddox, E. for 30 yards."
104,17,4203,YKW,BAL,BAL,2,2:58,1978,28,21,1,10,66,"Rush by Jimbo, D. for 3 yds. Tackle by Selich, A.."
105,17,4203,YKW,BAL,BAL,2,2:35,1955,28,21,2,7,63,"Pass by Havran, C., complete to Maddox, E. for 26 yds. Tackle by Storm, J.."
106,17,4203,YKW,BAL,BAL,2,2:35,1955,28,21,1,10,37,Baltimore Hawks : Timeout
107,17,4203,YKW,BAL,BAL,2,1:47,1907,28,21,1,10,37,"Rush by Jimbo, D. for 5 yds. Tackle by Skinner, Z.."
108,17,4203,YKW,BAL,BAL,2,1:47,1907,28,21,2,5,32,Baltimore Hawks : Timeout
109,17,4203,YKW,BAL,BAL,2,1:37,1897,28,21,2,5,32,"Rush by Jimbo, D. for 7 yds. Tackle by Selich, A.."
110,17,4203,YKW,BAL,BAL,2,1:37,1897,28,21,1,10,25,Baltimore Hawks : Timeout
111,17,4203,YKW,BAL,BAL,2,1:16,1876,28,21,1,10,25,"Rush by Pancakes, P. for a short gain. Tackle by Leaf Jr., R.."
112,17,4203,YKW,BAL,BAL,2,0:58,1858,28,21,2,10,25,"Rush by Trevor, C. for 4 yds. Tackle by Selich, A.."
113,17,4203,YKW,BAL,BAL,2,0:33,1833,28,21,3,21,36,"Hawks Penalty on Star, L.: Chop Block."
114,17,4203,YKW,BAL,BAL,2,0:24,1824,28,21,3,21,36,"53 yard FG by Brand, F. is NO good."
115,17,4203,YKW,BAL,YKW,2,0:24,1824,28,21,1,10,64,"Pass by Bigsby, C., complete to Swift, N. for 14 yds. Tackle by Hornbacher, A.."
116,17,4203,YKW,BAL,BAL,3,15:00,1800,28,21,,,70,"Brand, F. kicks off."
117,17,4203,YKW,BAL,YKW,3,15:00,1800,28,21,,,,The kick sails into the endzone.
118,17,4203,YKW,BAL,YKW,3,15:00,1800,28,21,,,,"Grithead, D. takes it out of the endzone!"
119,17,4203,YKW,BAL,YKW,3,15:00,1800,28,21,,,72,"Kickoff of 76 yards. Returned by Grithead, D. for 28 yards."
120,17,4203,YKW,BAL,YKW,3,14:50,1790,28,21,1,10,72,"Pass by Bigsby, C. to Canton, J. is incomplete. Broken up by Troyski, X.."
121,17,4203,YKW,BAL,YKW,3,14:45,1785,28,21,2,24,86,"Wraiths Penalty on Ones, B.: Clipping."
122,17,4203,YKW,BAL,YKW,3,14:32,1772,28,21,2,24,86,"Pass by Bigsby, C. to Swift, N. is incomplete. Broken up by Hornbacher, A.."
123,17,4203,YKW,BAL,YKW,3,14:29,1769,28,21,3,24,86,"Pass by Bigsby, C., complete to Helanen, T. for 11 yds. Tackle by Acho, M.."
124,17,4203,YKW,BAL,BAL,3,13:50,1730,28,21,4,13,75,"Punt by Bobby (R), K. of 41 yards. No return."
125,17,4203,YKW,BAL,BAL,3,13:42,1722,28,21,1,5,62,"Wraiths Penalty on Kroustis, G.: Offsides."
126,17,4203,YKW,BAL,BAL,3,13:42,1722,28,21,1,5,62,"Rush by Pancakes, P. for 3 yds. Tackle by Selich, A.."
127,17,4203,YKW,BAL,BAL,3,13:25,1705,28,21,2,2,59,"Rush by Jimbo, D. for 8 yds. Tackle by Uchiha, L.."
128,17,4203,YKW,BAL,BAL,3,12:51,1671,28,21,1,10,51,"Rush by Jeremy, R. for 1 yds. Tackle by Selich, A.."
129,17,4203,YKW,BAL,BAL,3,12:30,1650,28,21,2,9,49,"Pass by Havran, C. to Espeeyeeseetee, A. is incomplete. Broken up by Uchiha, L.."
130,17,4203,YKW,BAL,BAL,3,12:25,1645,28,21,3,9,49,"Havran, C. SACKED by Giannis Kroustis - SS for -6 yds."
131,17,4203,YKW,BAL,YKW,3,11:54,1614,28,21,4,15,56,"Punt by Brand, F. of 32 yards."
132,17,4203,YKW,BAL,YKW,3,11:54,1614,28,21,,,,"Returned by Snuggles, J. for 5 yards."
133,17,4203,YKW,BAL,YKW,3,11:45,1605,28,21,1,10,72,"Pass by Bigsby, C., complete to Helanen, T. for 28 yds. Tackle by Acho, M.."
134,17,4203,YKW,BAL,YKW,3,10:45,1545,28,21,1,10,28,"Hawks Penalty on Acho, M.: Roughing the Passer."
135,17,4203,YKW,BAL,YKW,3,10:22,1522,28,21,1,10,28,"Pass by Bigsby, C., to Parker, J.. INTERCEPTION by Terim, F. at the BAL - 20 yard line and returned for -2 yards."
136,17,4203,YKW,BAL,BAL,3,9:59,1499,28,21,1,10,82,"Rush by Trevor, C. for 15 yds. Tackle by Kroustis, G.."
137,17,4203,YKW,BAL,BAL,3,9:28,1468,28,21,1,10,67,"Rush by Jimbo, D. for 1 yds. Tackle by Leaf Jr., R.."
138,17,4203,YKW,BAL,BAL,3,9:16,1456,28,21,2,9,66,"Pass by Havran, C., complete to Maddox, E. for 43 yds. Tackle by Snuggles, J.."
139,17,4203,YKW,BAL,BAL,3,8:02,1382,28,21,1,10,22,"Rush by Trevor, C. for 1 yds. Tackle by Leaf Jr., R.."
140,17,4203,YKW,BAL,BAL,3,7:44,1364,28,21,2,9,21,"Pass by Havran, C., complete to L'Alto, V. for 19 yds. Tackle by Snuggles, J.."
141,17,4203,YKW,BAL,BAL,3,6:50,1310,28,21,1,2,2,"Rush by Jeremy, R. for 1 yds. Tackle by Leaf Jr., R.."
142,17,4203,YKW,BAL,BAL,3,6:26,1286,28,21,2,1,1,"Pass by Havran, C., complete to Nagasawa, Y. for 1 yds."
143,17,4203,YKW,BAL,BAL,3,5:46,1246,35,21,,,,TOUCHDOWN! (Brand kick good)
144,17,4203,YKW,BAL,BAL,3,5:46,1246,35,21,,,70,"Brand, F. kicks off."
145,17,4203,YKW,BAL,YKW,3,5:46,1246,35,21,,,,The kick sails into the endzone.
146,17,4203,YKW,BAL,YKW,3,5:46,1246,35,21,,,,"Grithead, D. takes it out of the endzone!"
147,17,4203,YKW,BAL,YKW,3,5:46,1246,35,21,,,,"Grithead, D. takes it down the left side."
148,17,4203,YKW,BAL,YKW,3,5:46,1246,35,21,,,,"Grithead, D. is finally brought down. A 32 yard return."
149,17,4203,YKW,BAL,YKW,3,5:40,1240,35,21,1,10,68,"Pass by Bigsby, C. to Parker, J. was dropped! Incomplete."
150,17,4203,YKW,BAL,YKW,3,5:35,1235,35,21,2,10,68,"Pass by Bigsby, C., complete to Helanen, T. for 8 yds. Tackle by Acho, M.."
151,17,4203,YKW,BAL,YKW,3,5:01,1201,35,21,3,2,60,"Rush by Marshall, M. for a short gain. Tackle by Harris, B.."
152,17,4203,YKW,BAL,BAL,3,4:46,1186,35,21,4,2,60,"Punt by Bobby (R), K. of 46 yards. No return."
153,17,4203,YKW,BAL,BAL,3,4:39,1179,35,21,1,10,87,"Rush by Trevor, C. for 4 yds. Tackle by Selich, A.."
154,17,4203,YKW,BAL,BAL,3,4:15,1155,35,21,2,1,78,"Wraiths Penalty on Kroustis, G.: Offsides."
155,17,4203,YKW,BAL,BAL,3,4:15,1155,35,21,2,1,78,"Rush by Jimbo, D. for 2 yds. Tackle by Maulolo, C.."
156,17,4203,YKW,BAL,BAL,3,3:54,1134,35,21,1,10,76,"Rush by Jimbo, D. for 2 yds. Tackle by Maulolo, C.."
157,17,4203,YKW,BAL,BAL,3,3:34,1114,35,21,2,8,74,"Rush by Jimbo, D. for a short gain. Tackle by Alexander, N.."
158,17,4203,YKW,BAL,BAL,3,3:20,1100,35,21,3,8,74,"Havran, C. SACKED by Giannis Kroustis - SS for -6 yds."
159,17,4203,YKW,BAL,YKW,3,2:49,1069,35,21,4,14,80,"Punt by Brand, F. of 46 yards. No return."
160,17,4203,YKW,BAL,YKW,3,2:43,1063,35,21,1,10,67,"Pass by Bigsby, C., complete to Canton, J. for 6 yds. Tackle by Hornbacher, A.."
161,17,4203,YKW,BAL,YKW,3,2:18,1038,35,21,2,4,61,"Pass by Bigsby, C., complete to Canton, J. for 30 yds. Tackle by Hornbacher, A.."
162,17,4203,YKW,BAL,YKW,3,1:28,988,35,21,1,10,30,"Rush by Marshall, M. for 3 yds. Tackle by Asipi III, A.."
163,17,4203,YKW,BAL,YKW,3,1:04,964,35,21,2,7,27,"Pass by Bigsby, C. to Canton, J. is incomplete. Broken up by Troyski, X.."
164,17,4203,YKW,BAL,YKW,3,0:58,958,35,21,3,7,27,"Pass by Bigsby, C., complete to Helanen, T. for 6 yds. Tackle by Asipi III, A.."
165,17,4203,YKW,BAL,YKW,3,0:16,916,35,24,4,1,21,"38 yard FG by Bobby (R), K. is good."
166,17,4203,YKW,BAL,YKW,3,0:16,916,35,24,,,70,"Bobby (R), K. kicks off."
167,17,4203,YKW,BAL,BAL,3,0:16,916,35,24,,,,"Maddox, E. takes it down the middle."
168,17,4203,YKW,BAL,BAL,3,0:16,916,35,24,,,,"Maddox, E. is finally brought down. A 38 yard return."
169,17,4203,YKW,BAL,BAL,3,0:11,911,35,24,1,10,60,"Rush by Trevor, C. for 6 yds. Tackle by Brown, M.."
170,17,4203,YKW,BAL,BAL,4,15:00,900,35,24,2,4,54,"Pass by Havran, C. to Espeeyeeseetee, A. falls incomplete."
171,17,4203,YKW,BAL,BAL,4,14:56,896,35,24,3,4,54,"Rush by Jeremy, R. for 1 yds. Tackle by Selich, A.."
172,17,4203,YKW,BAL,YKW,4,14:33,873,35,24,4,3,53,"Punt by Brand, F. of 39 yards. No return."
173,17,4203,YKW,BAL,YKW,4,14:24,864,35,24,1,10,86,"Rush by Marshall, M. for 7 yds. Tackle by Acho, M.."
174,17,4203,YKW,BAL,YKW,4,13:54,834,35,24,2,3,79,"Pass by Bigsby, C., complete to Marshall, M. for 7 yds. Tackle by Horne, B.."
175,17,4203,YKW,BAL,YKW,4,13:19,799,35,24,1,10,72,"Rush by Canton, J. for 5 yds. Tackle by Asipi III, A.."
176,17,4203,YKW,BAL,YKW,4,12:51,771,35,24,2,5,67,"Pass by Bigsby, C. to Marshall, M. falls incomplete."
177,17,4203,YKW,BAL,YKW,4,12:47,767,35,24,3,5,67,"Pass by Bigsby, C. to Parker, J. is incomplete. Broken up by Acho, M.."
178,17,4203,YKW,BAL,BAL,4,12:42,762,35,24,4,5,67,"Punt by Bobby (R), K. of 30 yards."
179,17,4203,YKW,BAL,BAL,4,12:42,762,35,24,,,,"Returned by Hornbacher, A. for -5 yards."
180,17,4203,YKW,BAL,BAL,4,12:32,752,35,24,1,10,68,"Rush by Jeremy, R. for 1 yds. Tackle by Brown, M.."
181,17,4203,YKW,BAL,BAL,4,12:13,733,35,24,2,9,67,"Pass by Havran, C., complete to Nagasawa, Y. for 25 yds. Tackle by Storm, J.."
182,17,4203,YKW,BAL,BAL,4,11:24,684,35,24,1,15,47,"Hawks Penalty on Star, L.: False Start."
183,17,4203,YKW,BAL,BAL,4,11:24,684,35,24,1,15,47,"Pass by Havran, C. to L'Alto, V. was dropped! Incomplete."
184,17,4203,YKW,BAL,BAL,4,11:18,678,35,24,2,15,47,"Pass by Havran, C. to Nagasawa, Y. falls incomplete."
185,17,4203,YKW,BAL,BAL,4,11:11,671,35,24,3,15,47,"Pass by Havran, C., complete to Maddox, E. for 9 yds. Tackle by Snuggles, J.."
186,17,4203,YKW,BAL,YKW,4,10:30,630,35,24,4,6,38,"Punt by Brand, F. of 38 yards. Touchback."
187,17,4203,YKW,BAL,YKW,4,10:26,626,35,24,1,10,80,"Pass by Bigsby, C. to Marshall, M. is incomplete. Broken up by Horne, B.."
188,17,4203,YKW,BAL,YKW,4,10:20,620,35,24,2,10,80,"Pass by Bigsby, C., complete to Marshall, M. for 5 yds. Tackle by Acho, M.."
189,17,4203,YKW,BAL,YKW,4,9:43,583,35,24,3,5,75,"Pass by Bigsby, C., complete to Parker, J. for 11 yds. Tackle by Green, W.."
190,17,4203,YKW,BAL,YKW,4,9:03,543,35,24,1,10,64,"Rush by Canton, J. for 6 yds. Tackle by Acho, M.."
191,17,4203,YKW,BAL,YKW,4,8:34,514,35,24,2,4,58,"Pass by Bigsby, C. to Parker, J. is incomplete. Broken up by Horne, B.."
192,17,4203,YKW,BAL,YKW,4,8:30,510,35,24,3,4,58,"Pass by Bigsby, C., complete to Canton, J. for 6 yds. Tackle by Troyski, X.."
193,17,4203,YKW,BAL,YKW,4,8:03,483,35,24,1,10,52,"Pass by Bigsby, C., complete to Parker, J. for 5 yds. Tackle by Acho, M.."
194,17,4203,YKW,BAL,YKW,4,7:29,449,35,24,2,5,47,"Rush by Canton, J. for 6 yds. Tackle by Horne, B.."
195,17,4203,YKW,BAL,YKW,4,7:12,432,35,24,1,10,41,"Pass by Bigsby, C. to Parker, J. was dropped! Incomplete."
196,17,4203,YKW,BAL,YKW,4,7:06,426,35,24,2,10,41,"Pass by Bigsby, C. to Parker, J. is incomplete. Broken up by Horne, B.."
197,17,4203,YKW,BAL,YKW,4,7:00,420,35,24,3,10,41,"Pass by Bigsby, C., complete to Helanen, T. for 5 yds. Tackle by Acho, M.."
198,17,4203,YKW,BAL,BAL,4,6:30,390,35,24,4,5,36,"Punt by Bobby (R), K. of 36 yards. Touchback."
199,17,4203,YKW,BAL,BAL,4,6:25,385,35,24,1,10,80,"Rush by Jimbo, D. for 2 yds. Tackle by Selich, A.."
200,17,4203,YKW,BAL,BAL,4,6:12,372,35,24,2,8,78,"Havran, C. SACKED by Danny Grithead - FS for -6 yds."
201,17,4203,YKW,BAL,BAL,4,5:49,349,35,24,3,14,84,"Pass by Havran, C. to Espeeyeeseetee, A. falls incomplete."
202,17,4203,YKW,BAL,YKW,4,5:43,343,35,24,4,14,84,"Punt by Brand, F. of 55 yards. No return."
203,17,4203,YKW,BAL,YKW,4,5:36,336,35,24,1,10,71,"Pass by Bigsby, C. to Parker, J. falls incomplete."
