,S,W,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,teamPoss,recTeam,down,distance,side,dist2goal,puntDist,puntEndLoc,surrenderIndex,surrenderRank,percentiles,NFLpercentiles,play,result
291321,3,4,289,4,9:01,PHI,10,6,BAL,BAL,PHI,4.0,5.0,PHI,32.0,12.0,20.0,496.46290665913506,14.0,99.9423324313534,99.99634396022229,"Punt by Turkleton, T. of 32 yards. Touchback.",Touchback
131613,19,11,4856,4,12:06,BAL,24,28,PHI,BAL,PHI,4.0,3.0,PHI,32.0,12.0,20.0,494.7217474525616,15.0,99.93789646453445,99.99634396022229,"Punt by Brand, F. of 32 yards. Touchback.",Touchback
322634,5,11,1414,4,10:08,COL,0,27,PHI,COL,PHI,4.0,1.0,PHI,33.0,13.0,20.0,465.0221722379152,16.0,99.93346049771547,99.99634396022229,"Punt by Leg, P. of 33 yards. Touchback.",Touchback
321606,5,9,1409,4,10:41,BAL,28,17,LV,LV,BAL,4.0,4.0,BAL,30.0,10.0,20.0,457.6481190214842,17.0,99.92902453089651,99.99634396022229,"Punt by Kicksit, B. of 30 yards. Touchback.",Touchback
308112,4,8,755,4,14:02,PHI,20,14,YKW,YKW,PHI,4.0,1.0,PHI,33.0,13.0,20.0,432.5588172179369,18.0,99.92458856407754,99.99634396022229,"Punt by Lombardi, J. of 33 yards. Touchback.",Touchback
329808,6,4,1592,4,8:10,YKW,27,24,NO,NO,YKW,4.0,8.0,YKW,31.0,11.0,20.0,430.64429404901614,19.0,99.92015259725858,99.99634396022229,"Punt by Lombardi, J. of 31 yards. Touchback.",Touchback
169910,21,10,5199,4,8:27,CHI,14,7,PHI,PHI,CHI,4.0,7.0,CHI,31.0,11.0,20.0,419.19034611176374,20.0,99.9157166304396,99.99634396022229,"Punt by Powers, V. of 31 yards. Touchback.",Touchback
91970,17,1,4292,4,11:00,NO,24,10,AUS,AUS,NO,4.0,3.0,NO,32.0,12.0,20.0,411.2657111637158,21.0,99.91128066362063,99.99634396022229,"Punt by Crisco, A. of 32 yards. Touchback.",Touchback
36287,12,13,2927,4,3:51,PHI,24,24,COL,COL,PHI,4.0,1.0,PHI,35.0,15.0,20.0,388.62919324574136,22.0,99.90684469680167,99.99268792044458,"Punt by Leg, P. of 35 yards. Touchback.",Touchback
87439,16,12,3924,5,3:16,BAL,24,24,NO,BAL,NO,4.0,10.0,NO,33.0,13.0,20.0,384.40375308009396,23.0,99.9024087299827,99.99268792044458,"Punt by Brand (R), F. of 33 yards. Touchback.",Touchback
35251,12,12,2922,4,6:15,AZ,17,20,BAL,AZ,BAL,4.0,4.0,BAL,35.0,15.0,20.0,373.43296127492704,24.0,99.89797276316374,99.99268792044458,"Punt by Jackson, D. of 35 yards. Touchback.",Touchback
208093,23,13,5668,4,6:02,BAL,10,13,COL,BAL,COL,4.0,7.0,COL,33.0,13.0,20.0,365.85395677416534,25.0,99.89353679634476,99.99268792044458,"Punt by Brand, F. of 33 yards. Touchback.",Touchback
181337,22,5,5387,4,5:40,CHI,6,13,SAR,CHI,SAR,4.0,3.0,SAR,37.0,17.0,20.0,365.1745460765683,26.0,99.8891008295258,99.99268792044458,"Punt by Sidekick (R), S. of 37 yards. Touchback.",Touchback
160634,21,1,5155,4,4:06,PHI,26,20,COL,COL,PHI,4.0,8.0,PHI,34.0,14.0,20.0,364.6652951240318,27.0,99.88466486270683,99.99268792044458,"Punt by Banana (R), S. of 34 yards. Touchback.",Touchback
136769,1,2,20,4,7:56,OCO,13,10,BAL,BAL,OCO,4.0,3.0,OCO,36.0,16.0,20.0,353.89573852030685,28.0,99.88022889588785,99.99268792044458,"Punt by Harris, S. of 36 yards. Touchback.",Touchback
179313,22,4,5377,4,6:27,YKW,23,20,BAL,BAL,YKW,4.0,1.0,YKW,38.0,18.0,20.0,353.4728884397629,29.0,99.8757929290689,99.99268792044458,"Punt by Brand, F. of 38 yards. Touchback.",Touchback
169288,21,9,5196,4,6:58,AUS,30,16,CHI,CHI,AUS,4.0,2.0,AUS,35.0,15.0,20.0,349.06016836226684,30.0,99.87135696224992,99.99268792044458,"Punt by Espinosa, D. of 35 yards. Touchback.",Touchback
363177,8,12,1925,4,5:03,YKW,17,38,OCO,YKW,OCO,4.0,2.0,OCO,36.0,16.0,20.0,348.0509328516142,31.0,99.86692099543096,99.99268792044458,"Punt by Forfeit, N. of 36 yards. Touchback.",Touchback
353360,8,1,1880,4,12:58,YKW,27,7,NO,NO,YKW,4.0,2.0,YKW,32.0,12.0,20.0,342.64010480335594,32.0,99.86248502861199,99.99268792044458,"Punt by Leg, P. of 32 yards. Touchback.",Touchback
267431,26,5,6692,4,5:14,OCO,22,34,NO,OCO,NO,4.0,3.0,NO,36.0,16.0,20.0,342.1836373486412,33.0,99.85804906179301,99.99268792044458,"Punt by Dasistwirklichseinnachname, A. of 36 yards. Touchback.",Touchback
122427,19,2,4812,4,3:44,COL,16,7,PHI,PHI,COL,4.0,1.0,COL,38.0,18.0,20.0,340.9543993843442,34.0,99.85361309497405,99.99268792044458,"Punt by Frost, B. of 38 yards. Touchback.",Touchback
123092,19,2,4815,4,4:32,OCO,27,10,SJS,SJS,OCO,4.0,4.0,OCO,35.0,15.0,20.0,328.5499103451242,35.0,99.84917712815508,99.98903188066686,"Punt by Bobby, K. of 35 yards. Touchback.",Touchback
10497,10,13,2570,3,3:54,BAL,21,7,PHI,PHI,BAL,4.0,1.0,BAL,31.0,11.0,20.0,322.0315743556132,36.0,99.84474116133612,99.98903188066686,"Punt by Meoff, B. of 31 yards. Touchback.",Touchback
360997,8,10,1915,4,3:55,BAL,21,31,PHI,BAL,PHI,4.0,3.0,PHI,37.0,17.0,20.0,321.8951425049678,37.0,99.84030519451714,99.98903188066686,"Punt by Turkleton, T. of 37 yards. Touchback.",Touchback
19035,11,8,2699,4,13:38,BAL,24,20,YKW,YKW,BAL,4.0,8.0,BAL,30.0,10.0,20.0,309.7634410941115,38.0,99.83586922769818,99.98903188066686,"Punt by Forfeit, N. of 30 yards. Touchback.",Touchback
180746,22,5,5384,5,6:36,AZ,24,24,OCO,AZ,OCO,4.0,10.0,OCO,33.0,13.0,20.0,304.54203983783424,39.0,99.83143326087921,99.98903188066686,"Punt by Jay-Jaymison, J. of 33 yards. Touchback.",Touchback
77220,16,2,3876,4,10:01,PHI,14,17,OCO,PHI,OCO,4.0,9.0,OCO,32.0,12.0,20.0,300.93030047091213,40.0,99.82699729406023,99.98903188066686,"Punt by Frost, K. of 32 yards. Touchback.",Touchback
125056,19,4,4825,2,7:41,CHI,0,16,OCO,CHI,OCO,4.0,1.0,OCO,30.0,10.0,20.0,298.3135822273102,41.0,99.82256132724127,99.98903188066686,"Punt by Fulture, K. of 30 yards. Touchback.",Touchback
308764,4,9,758,4,7:16,YKW,27,10,COL,COL,YKW,4.0,1.0,YKW,37.0,17.0,20.0,294.52850806341115,42.0,99.8181253604223,99.98537584088915,"Punt by Kicksit, B. of 37 yards. Touchback.",Touchback
375091,9,11,2359,3,2:37,NO,20,7,COL,COL,NO,4.0,2.0,NO,31.0,11.0,20.0,280.4490548601857,43.0,99.81368939360334,99.97806376133373,"Punt by McCormick, M. of 31 yards. Touchback.",Touchback
124575,19,4,4822,4,4:37,YKW,33,27,COL,COL,YKW,4.0,3.0,YKW,39.0,19.0,20.0,279.5258771923,44.0,99.80925342678437,99.97806376133373,"Punt by Harris Jr, S. of 39 yards. Touchback.",Touchback
134863,19,14,4872,2,10:13,COL,0,3,BAL,COL,BAL,4.0,1.0,BAL,32.0,12.0,20.0,276.21627984010206,46.0,99.80259947655591,99.97806376133373,"Punt by Harris Jr, S. of 32 yards. Touchback.",Touchback
363978,8,13,1929,2,1:54,NO,13,14,OCO,NO,OCO,4.0,1.0,OCO,32.0,12.0,20.0,276.21627984010206,46.0,99.80259947655591,99.97806376133373,"Punt by Leg, P. of 32 yards. Touchback.",Touchback
43576,13,7,3037,4,5:36,OCO,20,28,PHI,OCO,PHI,4.0,10.0,PHI,31.0,11.0,20.0,274.30168187917843,47.0,99.79594552632746,99.97806376133373,"Punt by Anderson, A. of 31 yards. Touchback.",Touchback
276533,2,1,113,3,3:44,PHI,13,24,SJS,PHI,SJS,4.0,1.0,SJS,32.0,12.0,20.0,271.1578847030553,48.0,99.7915095595085,99.97806376133373,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
50889,14,1,3205,4,8:10,YKW,0,31,OCO,YKW,OCO,4.0,7.0,OCO,32.0,12.0,20.0,269.15268378063513,49.0,99.78707359268952,99.97806376133373,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
315545,5,2,1381,3,6:40,YKW,13,17,PHI,YKW,PHI,4.0,5.0,PHI,30.0,10.0,20.0,268.48222400457917,50.0,99.78263762587056,99.97806376133373,"Punt by Lombardi, J. of 30 yards. Touchback.",Touchback
295898,3,9,310,3,5:52,YKW,7,13,COL,YKW,COL,4.0,1.0,COL,33.0,13.0,20.0,268.06020972358834,51.0,99.77820165905159,99.97806376133373,"Punt by Booter, A. of 33 yards. Touchback.",Touchback
32381,12,8,2909,3,4:02,YKW,7,24,AZ,YKW,AZ,4.0,1.0,AZ,32.0,12.0,20.0,266.180716487421,52.0,99.77376569223262,99.97806376133373,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
298798,3,13,324,1,7:47,COL,0,3,PHI,COL,PHI,4.0,2.0,PHI,31.0,11.0,20.0,265.167628646498,56.0,99.7626757751852,99.97806376133373,"Punt by Kicksit, B. of 31 yards. Touchback.",Touchback
198517,23,5,5622,1,3:09,COL,3,0,CHI,CHI,COL,4.0,3.0,COL,31.0,11.0,20.0,265.167628646498,56.0,99.7626757751852,99.97806376133373,"Punt by Sidekick (R), S. of 31 yards. Touchback.",Touchback
308407,4,9,757,1,1:56,ARI,0,3,LV,ARI,LV,4.0,2.0,LV,31.0,11.0,20.0,265.167628646498,56.0,99.7626757751852,99.97806376133373,"Punt by Ronaldo, C. of 31 yards. Touchback.",Touchback
109185,18,4,4572,1,5:15,YKW,3,0,PHI,PHI,YKW,4.0,2.0,YKW,31.0,11.0,20.0,265.167628646498,56.0,99.7626757751852,99.97806376133373,"Punt by Frost (R), B. of 31 yards. Touchback.",Touchback
342193,7,3,1738,5,3:28,SJS,27,27,BAL,BAL,SJS,4.0,5.0,SJS,41.0,21.0,20.0,264.59240562401,57.0,99.75158585813779,99.97806376133373,"Punt by Turkleton, T. of 41 yards. Touchback.",Touchback
228141,24,12,6115,4,13:52,PHI,10,17,YKW,PHI,YKW,4.0,4.0,YKW,33.0,13.0,20.0,263.37764108608263,58.0,99.74714989131881,99.97806376133373,"Punt by Hunt (R), K. of 33 yards. Touchback.",Touchback
99005,17,8,4326,3,4:32,SJS,6,28,AZ,SJS,AZ,4.0,1.0,AZ,32.0,12.0,20.0,258.4707273763606,59.0,99.74271392449984,99.97806376133373,"Punt by Donaldson, N. of 32 yards. Touchback.",Touchback
375748,9,12,2362,3,5:55,YKW,17,23,OCO,YKW,OCO,4.0,3.0,OCO,32.0,12.0,20.0,256.7438331385864,60.0,99.73827795768088,99.97806376133373,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
27977,12,3,2888,4,12:16,OCO,17,9,BAL,BAL,OCO,4.0,4.0,OCO,34.0,14.0,20.0,253.72193312360054,61.0,99.7338419908619,99.97806376133373,"Punt by Turkleton, T. of 34 yards. Touchback.",Touchback
134579,19,13,4870,4,8:05,BAL,20,27,NO,BAL,NO,4.0,8.0,NO,34.0,14.0,20.0,251.19805742948614,62.0,99.72940602404294,99.97806376133373,"Punt by Brand, F. of 34 yards. Touchback.",Touchback
326984,6,1,1579,4,12:32,BAL,23,16,COL,COL,BAL,4.0,6.0,BAL,34.0,14.0,20.0,247.56144092260573,63.0,99.72497005722397,99.97806376133373,"Punt by Leg, P. of 34 yards. Touchback.",Touchback
130329,19,9,4850,4,9:15,AZ,27,17,SJS,SJS,AZ,4.0,1.0,AZ,37.0,17.0,20.0,243.91554636057137,64.0,99.72053409040501,99.97806376133373,"Punt by Bobby, K. of 37 yards. Touchback.",Touchback
281352,2,7,78,5,13:18,ARI,20,20,OCO,OCO,ARI,4.0,3.0,ARI,39.0,19.0,20.0,242.99894527517117,65.0,99.71609812358604,99.97806376133373,"Punt by Langdon, J. of 39 yards. Touchback.",Touchback
363764,8,13,1928,3,11:42,BAL,16,6,SJS,SJS,BAL,4.0,2.0,BAL,30.0,10.0,20.0,240.50336735318626,66.0,99.71166215676706,99.97806376133373,"Punt by Blewitt, I. of 30 yards. Touchback.",Touchback
233249,24,16,6091,1,0:50,PHI,0,7,COL,PHI,COL,4.0,5.0,COL,30.0,10.0,20.0,238.65086578184813,68.0,99.70500820653862,99.97806376133373,"Punt by Hunt (R), K. of 30 yards. Touchback.",Touchback
214352,24,1,6180,2,10:09,CHI,3,10,COL,CHI,COL,4.0,5.0,COL,30.0,10.0,20.0,238.65086578184813,68.0,99.70500820653862,99.97806376133373,"Punt by Sidekick (R), S. of 30 yards. Touchback.",Touchback
376227,9,12,2364,4,13:07,COL,21,7,PHI,PHI,COL,4.0,2.0,COL,34.0,14.0,20.0,234.72735128958914,69.0,99.69835425631017,99.97806376133373,"Punt by (R) Meoff, B. of 34 yards. Touchback.",Touchback
146754,20,2,4978,4,3:20,SJS,21,26,AZ,SJS,AZ,4.0,11.0,AZ,33.0,13.0,20.0,234.59969367752674,70.0,99.6939182894912,99.97806376133373,"Punt by Bobby, K. of 33 yards. Touchback.",Touchback
63994,15,1,3360,4,5:01,PHI,16,16,SJS,SJS,PHI,4.0,2.0,PHI,36.0,16.0,20.0,232.75135167989373,71.0,99.68948232267222,99.97806376133373,"Punt by Donaldson, N. of 36 yards. Touchback.",Touchback
85430,16,10,3915,3,3:53,OCO,17,6,COL,COL,OCO,4.0,6.0,OCO,30.0,10.0,20.0,232.10126513605312,72.0,99.68504635585326,99.97806376133373,"Punt by Anderson, A. of 30 yards. Touchback.",Touchback
91248,17,1,4289,3,12:06,COL,20,14,YKW,YKW,COL,4.0,1.0,COL,33.0,13.0,20.0,231.3928281929087,73.0,99.68061038903429,99.97806376133373,"Punt by Bobby (R), K. of 33 yards. Touchback.",Touchback
280290,2,6,93,4,3:43,LV,13,16,BAL,LV,BAL,4.0,6.0,BAL,39.0,19.0,20.0,227.6477914899239,74.0,99.67617442221533,99.97806376133373,"Punt by Blewitt, I. of 39 yards. Touchback.",Touchback
58689,14,10,3242,4,11:05,AZ,21,20,COL,COL,AZ,4.0,8.0,AZ,33.0,13.0,20.0,226.69395791507154,75.0,99.67173845539635,99.97806376133373,"Punt by Corbett, K. of 33 yards. Touchback.",Touchback
306642,4,7,748,4,6:47,PHI,19,28,LV,PHI,LV,4.0,4.0,LV,36.0,16.0,20.0,221.9707986569728,76.0,99.66730248857739,99.97806376133373,"Punt by Harris, S. of 36 yards. Touchback.",Touchback
336262,6,12,1622,1,8:59,YKW,0,7,PHI,YKW,PHI,4.0,3.0,PHI,32.0,12.0,20.0,220.97302387208165,79.0,99.65843055493944,99.97806376133373,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
259041,25,16,6477,1,2:53,NO,2,0,BER,BER,NO,4.0,3.0,NO,32.0,12.0,20.0,220.97302387208165,79.0,99.65843055493944,99.97806376133373,"Punt by Hunt, K. of 32 yards. Touchback.",Touchback
335458,6,11,1618,2,13:17,OCO,13,7,PHI,PHI,OCO,4.0,3.0,OCO,32.0,12.0,20.0,220.97302387208165,79.0,99.65843055493944,99.97806376133373,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
340415,7,1,1731,4,5:35,NO,27,35,AZ,NO,AZ,4.0,9.0,AZ,36.0,16.0,20.0,220.81422215621967,80.0,99.64955862130151,99.97806376133373,"Punt by Leg, P. of 36 yards. Touchback.",Touchback
136544,1,1,19,3,7:04,ARI,17,6,OCO,OCO,ARI,4.0,3.0,ARI,31.0,11.0,20.0,220.32450304914406,81.0,99.64512265448255,99.97806376133373,"Punt by Walsh, B. of 31 yards. Touchback.",Touchback
162801,21,3,5165,4,4:31,CHI,26,38,COL,CHI,COL,4.0,9.0,COL,35.0,15.0,20.0,219.36938163698795,82.0,99.64068668766357,99.97806376133373,"Punt by Espinosa, D. of 35 yards. Touchback.",Touchback
273596,26,9,6722,4,8:53,SAR,10,52,SJS,SAR,SJS,4.0,6.0,SJS,35.0,15.0,20.0,218.2325241266717,83.0,99.63625072084461,99.97806376133373,"Punt by Small, J. of 35 yards. Touchback.",Touchback
41888,13,5,3029,4,2:19,BAL,13,14,OCO,BAL,OCO,4.0,5.0,OCO,40.0,20.0,20.0,215.17140642512842,84.0,99.63181475402564,99.974407721556,"Punt by Frost, A. of 40 yards. Touchback.",Touchback
24577,11,14,2725,4,10:34,AZ,27,16,SJS,SJS,AZ,4.0,8.0,AZ,32.0,12.0,20.0,214.22580284592118,85.0,99.62737878720667,99.974407721556,"Punt by Corbett, K. of 32 yards. Touchback.",Touchback
319737,5,7,1400,4,10:36,PHI,12,24,OCO,PHI,OCO,4.0,7.0,OCO,32.0,12.0,20.0,213.5510049274606,86.0,99.6229428203877,99.974407721556,"Punt by Harris, S. of 32 yards. Touchback.",Touchback
305211,4,5,742,3,10:01,LV,3,38,OCO,LV,OCO,4.0,1.0,OCO,32.0,12.0,20.0,212.69984198899766,87.0,99.61850685356873,99.974407721556,"Punt by Gooney, W. of 32 yards. Touchback.",Touchback
239142,25,3,6385,3,8:14,NY,0,16,AZ,NY,AZ,4.0,2.0,AZ,31.0,11.0,20.0,212.18516412610583,88.0,99.61407088674977,99.974407721556,"Punt by Smalls, D. of 31 yards. Touchback.",Touchback
253364,25,12,6451,4,6:28,BER,14,32,CHI,BER,CHI,4.0,3.0,CHI,38.0,18.0,20.0,211.75152418793374,89.0,99.6096349199308,99.974407721556,"Punt by Hunt, K. of 38 yards. Touchback.",Touchback
234040,24,16,6094,4,2:05,NO,23,24,SJS,NO,SJS,4.0,7.0,SJS,38.0,18.0,20.0,210.88835138457534,90.0,99.60519895311182,99.974407721556,"Punt by Prohaska, H. of 38 yards. Touchback.",Touchback
226561,24,10,6131,5,13:28,AUS,25,25,PHI,PHI,AUS,4.0,1.0,AUS,41.0,21.0,20.0,208.04693616676718,91.0,99.60076298629286,99.974407721556,"Punt by Hunt (R), K. of 41 yards. Touchback.",Touchback
231165,24,14,6105,2,2:36,NO,13,3,AZ,AZ,NO,4.0,1.0,NO,32.0,12.0,20.0,207.16220988007655,93.0,99.59410903606441,99.974407721556,"Punt by Jay-Jaymison, J. of 32 yards. Touchback.",Touchback
17175,11,6,2691,2,11:33,YKW,7,21,COL,YKW,COL,4.0,1.0,COL,32.0,12.0,20.0,207.16220988007655,93.0,99.59410903606441,99.974407721556,"Punt by Forfeit, N. of 32 yards. Touchback.",Touchback
124944,19,4,4824,4,8:35,NO,17,10,SJS,SJS,NO,4.0,16.0,NO,31.0,11.0,20.0,206.95167506941957,94.0,99.58745508583596,99.974407721556,"Punt by Bobby, K. of 31 yards. Touchback.",Touchback
341407,7,2,1735,4,4:47,AZ,26,34,OCO,AZ,OCO,4.0,5.0,OCO,39.0,19.0,20.0,206.44699907708835,95.0,99.583019119017,99.974407721556,"Punt by Jackson, D. of 39 yards. Touchback.",Touchback
218972,24,4,6166,3,9:30,NO,7,21,AUS,NO,AUS,4.0,3.0,AUS,31.0,11.0,20.0,206.0227182878754,96.0,99.57858315219802,99.974407721556,"Punt by Prohaska, H. of 31 yards. Touchback.",Touchback
233183,24,16,6090,5,11:21,YKW,24,24,BAL,YKW,BAL,4.0,1.0,BAL,42.0,22.0,20.0,205.88118061442208,97.0,99.57414718537905,99.974407721556,"Punt by Smalls, D. of 42 yards. Touchback.",Touchback
340449,7,1,1731,5,11:54,NO,35,35,AZ,NO,AZ,4.0,4.0,AZ,39.0,19.0,20.0,204.27656812255208,98.0,99.56971121856009,99.974407721556,"Punt by Leg, P. of 39 yards. Touchback.",Touchback
87833,16,12,3926,4,8:57,PHI,34,31,SJS,SJS,PHI,4.0,6.0,PHI,37.0,17.0,20.0,200.78819200185023,99.0,99.56527525174111,99.9707516817783,"Punt by Donaldson, N. of 37 yards. Touchback.",Touchback
326502,5,16,1432,3,12:42,YKW,6,19,OCO,YKW,OCO,4.0,2.0,OCO,31.0,11.0,20.0,199.39838119998768,100.0,99.56083928492215,99.9707516817783,"Punt by Lombardi, J. of 31 yards. Touchback.",Touchback
120415,18,15,4626,3,12:57,BAL,14,6,YKW,YKW,BAL,4.0,5.0,BAL,31.0,11.0,20.0,199.24580275208584,101.0,99.55640331810318,99.9707516817783,"Punt by Donaldson, N. of 31 yards. Touchback.",Touchback
368597,9,4,2329,2,0:27,PHI,17,7,AZ,AZ,PHI,4.0,3.0,PHI,31.0,11.0,20.0,198.87572148487348,102.0,99.55196735128422,99.9707516817783,"Punt by Jackson, D. of 31 yards. Touchback.",Touchback
293862,3,7,301,2,8:15,SJS,10,7,OCO,OCO,SJS,4.0,6.0,SJS,31.0,11.0,20.0,198.87572148487345,103.0,99.54753138446524,99.9707516817783,"Punt by Sims, A. of 31 yards. Touchback.",Touchback
181743,22,6,5389,4,11:05,SJS,16,13,BAL,BAL,SJS,4.0,6.0,SJS,36.0,27.0,9.0,196.78294957905516,104.0,99.54309541764627,99.96343960222288,"Punt by Brand, F. of 27 yards. No return.",No return
355091,8,3,1888,3,11:38,AZ,3,7,COL,AZ,COL,4.0,1.0,COL,34.0,14.0,20.0,193.39789382971276,105.0,99.53865945082731,99.95978356244515,"Punt by Jackson, D. of 34 yards. Touchback.",Touchback
306838,4,7,749,3,0:23,BAL,9,38,YKW,BAL,YKW,4.0,2.0,YKW,34.0,14.0,20.0,192.72140789678835,106.0,99.53422348400834,99.95978356244515,"Punt by Turkleton, T. of 34 yards. Touchback.",Touchback
284357,2,11,88,2,6:54,OCO,14,9,LV,LV,OCO,4.0,1.0,OCO,34.0,14.0,20.0,191.81686100007087,107.0,99.52978751718938,99.95978356244515,"Punt by Blewitt, I. of 34 yards. Touchback.",Touchback
135586,19,15,4875,3,6:13,BAL,14,31,YKW,BAL,YKW,4.0,3.0,YKW,32.0,12.0,20.0,189.9865042523509,108.0,99.5253515503704,99.95978356244515,"Punt by Brand, F. of 32 yards. Touchback.",Touchback
149673,20,5,4992,4,12:47,NO,6,13,AZ,NO,AZ,4.0,2.0,AZ,37.0,17.0,20.0,186.69312511415268,109.0,99.52091558355143,99.95612752266744,"Punt by Prohaska (R), H. of 37 yards. Touchback.",Touchback
321829,5,10,1410,4,5:04,COL,20,24,SJS,COL,SJS,4.0,2.0,SJS,41.0,21.0,20.0,186.2107566921594,110.0,99.51647961673247,99.95612752266744,"Punt by Leg, P. of 41 yards. Touchback.",Touchback
81315,16,6,3895,3,1:51,PHI,17,27,AZ,PHI,AZ,4.0,6.0,AZ,32.0,12.0,20.0,185.3483277833138,111.0,99.5120436499135,99.95612752266744,"Punt by Frost, K. of 32 yards. Touchback.",Touchback
8087,10,10,2559,2,1:17,OCO,6,9,PHI,OCO,PHI,4.0,2.0,PHI,33.0,13.0,20.0,184.14418656006805,113.0,99.50538969968504,99.95247148288973,"Punt by Madlad, B. of 33 yards. Touchback.",Touchback
152293,20,7,5005,2,4:20,BAL,13,10,CHI,CHI,BAL,4.0,2.0,BAL,33.0,13.0,20.0,184.14418656006805,113.0,99.50538969968504,99.95247148288973,"Punt by Fulture, K. of 33 yards. Touchback.",Touchback
131841,19,11,4857,4,8:59,NO,17,27,CHI,NO,CHI,4.0,5.0,CHI,36.0,16.0,20.0,180.1365677328348,114.0,99.4987357494566,99.95247148288973,"Punt by Prohaska (R), H. of 36 yards. Touchback.",Touchback
180709,22,5,5384,4,0:40,AZ,24,24,OCO,AZ,OCO,4.0,6.0,OCO,38.0,18.0,20.0,179.0450550051495,115.0,99.49429978263763,99.95247148288973,"Punt by Jay-Jaymison, J. of 38 yards. Touchback.",Touchback
238840,25,3,6384,2,13:05,AUS,0,14,OCO,AUS,OCO,4.0,4.0,OCO,30.0,10.0,20.0,178.9881493363861,116.0,99.48986381581865,99.95247148288973,"Punt by QB (R), P. of 30 yards. Touchback.",Touchback
315596,5,2,1381,4,6:08,YKW,19,24,PHI,YKW,PHI,4.0,1.0,PHI,42.0,22.0,20.0,175.60883325617868,117.0,99.48542784899969,99.95247148288973,"Punt by Lombardi, J. of 42 yards. Touchback.",Touchback
110166,18,4,4576,4,10:35,COL,27,20,NO,NO,COL,4.0,5.0,COL,37.0,17.0,20.0,171.91367209516585,118.0,99.48099188218072,99.94881544311203,"Punt by Frost, A. of 37 yards. Touchback.",Touchback
